区市町村,平成23年,平成24年,平成25年,平成26年,平成27年,平成23～27年の平均
特別区／千代田区（人/10万人）,25.1,16.4,19.9,20.7,18.2,20.1
特別区／中央区（人/10万人）,20.6,20.9,12.8,18.1,9.8,16.4
特別区／港区（人/10万人）,23.7,19.1,16.5,13.8,14.4,17.5
特別区／新宿区（人/10万人）,24.6,22,22.7,22.1,21.2,22.5
特別区／文京区（人/10万人）,16.3,18.1,12.7,13.9,11.4,14.5
特別区／台東区（人/10万人）,22,29.5,25.8,19.5,22.5,23.9
特別区／墨田区（人/10万人）,22.2,18.1,25,23.1,19,21.5
特別区／江東区（人/10万人）,24.9,18.8,20.6,19.5,16.7,20.1
特別区／品川区（人/10万人）,24.2,19.5,18.9,17.9,10.8,18.3
特別区／目黒区（人/10万人）,23.8,18.1,14.2,14.9,15.5,17.3
特別区／大田区（人/10万人）,23.8,17.7,19.8,18.1,14.5,18.8
特別区／世田谷区（人/10万人）,19.9,17.1,17.5,15.9,13.9,16.8
特別区／渋谷区（人/10万人）,25.2,17.7,17.5,14.9,15.2,18.1
特別区／中野区（人/10万人）,26.2,17.9,19.9,17.5,19.8,20.2
特別区／杉並区（人/10万人）,20.6,18.9,17.9,17.8,15.3,18.1
特別区／豊島区（人/10万人）,29,16.3,21,16.3,16.7,19.9
特別区／北区（人/10万人）,23.1,14.4,20,21.3,18.2,19.4
特別区／荒川区（人/10万人）,23.5,19.6,15.1,17.4,18.6,18.8
特別区／板橋区（人/10万人）,22.4,25.4,23.5,22.3,18.2,22.4
特別区／練馬区（人/10万人）,21.1,16.6,17.9,19.2,14.7,17.9
特別区／足立区（人/10万人）,22.1,23.9,22,20.9,19.6,21.7
特別区／葛飾区（人/10万人）,24,21.8,24,19.9,21.1,22.2
特別区／江戸川区（人/10万人）,24.8,21.2,22.1,19.9,19.3,21.5
多摩地域／青梅市（人/10万人）,27.3,19.5,24,17.6,20.6,21.8
多摩地域／福生市（人/10万人）,30.3,28.9,32.4,13.7,17.2,24.5
多摩地域／羽村市（人/10万人）,29.9,23,17.8,23.3,14.3,21.7
多摩地域／瑞穂町（人/10万人）,33,12.1,15.1,15.1,33.2,21.7
多摩地域／奥多摩町（人/10万人）,50.9,17.6,54.5,18.7,0,28.4
多摩地域／あきる野市（人/10万人）,22.2,11.1,12.4,18.6,14.9,15.8
多摩地域／日の出町（人/10万人）,-,-,-,-,-,-
多摩地域／檜原村（人/10万人）,-,-,-,-,-,-
多摩地域／八王子市（人/10万人）,22.3,20.5,19.5,19.5,15.7,19.5
多摩地域／町田市（人/10万人）,21.3,14.7,19.8,18.7,16.3,18.2
多摩地域／日野市（人/10万人）,17.7,19.3,20.9,14.8,20,18.5
多摩地域／多摩市（人/10万人）,13,25.3,23.2,16.3,19,19.3
多摩地域／稲城市（人/10万人）,11.7,18.6,20.8,13.8,22.8,17.5
多摩地域／調布市（人/10万人）,23.6,20,23.4,19.9,17.5,20.9
多摩地域／狛江市（人/10万人）,16.6,22.9,12.6,11.2,16,15.8
多摩地域／府中市（人/10万人）,17.6,18.3,16.3,17.8,15.7,17.1
多摩地域／小金井市（人/10万人）,20.9,18.4,21.6,18.2,17.3,19.3
多摩地域／武蔵野市（人/10万人）,15.9,12.9,15.6,15.4,14.6,14.9
多摩地域／三鷹市（人/10万人）,23.6,26.8,18.2,16.5,15.3,20.1
多摩地域／立川市（人/10万人）,21.1,16.7,20.1,18.9,23.8,20.1
多摩地域／昭島市（人/10万人）,23.2,23.3,18.8,16.2,17.9,19.9
多摩地域／国立市（人/10万人）,7.9,18.5,11.9,17.2,15.9,14.3
多摩地域／国分寺市（人/10万人）,19.2,21.5,18.9,10.6,13.8,16.8
多摩地域／東大和市（人/10万人）,21.5,21.5,16.7,14.1,18.7,18.5
多摩地域／武蔵村山市（人/10万人）,19.9,17,19.8,17,22.7,19.3
多摩地域／小平市（人/10万人）,17.1,15.9,14.8,17.4,18.3,16.7
多摩地域／西東京市（人/10万人）,17.6,16.6,15.1,18.1,17,16.9
多摩地域／東村山市（人/10万人）,19.5,28.1,24.9,16.5,22.5,22.3
多摩地域／清瀬市（人/10万人）,17.5,12.1,22.9,18.8,13.4,17
多摩地域／東久留米市（人/10万人）,23.3,19.9,19.8,14.6,14.5,18.4
