地域合計,平成23年,平成24年,平成25年,平成26年,平成27年,平成23～27年の平均
東京都（人）,2919,2575,2620,2443,2290,2569
特別区（人）,2055,1756,1796,1708,1542,1771
多摩地域（人）,853,808,815,730,736,788
島しょ（人）,11,11,9,5,12,10
