区市町村,平成23年,平成24年,平成25年,平成26年,平成27年,平成23～27年の平均
特別区／千代田区（人）,12,8,10,11,10,10
特別区／中央区（人）,26,27,17,25,14,22
特別区／港区（人）,49,40,35,30,32,37
特別区／新宿区（人）,80,72,75,74,72,75
特別区／文京区（人）,34,38,27,30,25,31
特別区／台東区（人）,39,53,47,36,42,43
特別区／墨田区（人）,55,45,63,59,49,54
特別区／江東区（人）,116,88,98,94,82,96
特別区／品川区（人）,89,72,70,67,41,68
特別区／目黒区（人）,64,49,39,41,43,47
特別区／大田区（人）,165,123,139,128,103,132
特別区／世田谷区（人）,175,151,156,143,126,150
特別区／渋谷区（人）,52,37,37,32,33,38
特別区／中野区（人）,82,56,63,56,64,64
特別区／杉並区（人）,113,104,99,99,86,100
特別区／豊島区（人）,83,47,61,48,50,58
特別区／北区（人）,77,48,67,72,62,65
特別区／荒川区（人）,48,40,31,36,39,39
特別区／板橋区（人）,120,136,127,121,100,121
特別区／練馬区（人）,151,119,129,139,107,129
特別区／足立区（人）,151,164,151,144,136,149
特別区／葛飾区（人）,106,96,106,88,94,98
特別区／江戸川区（人）,168,143,149,135,132,145
多摩地域／青梅市（人）,38,27,33,24,28,30
多摩地域／福生市（人）,18,17,19,8,10,14
多摩地域／羽村市（人）,17,13,10,13,8,12
多摩地域／瑞穂町（人）,11,4,5,5,11,7
多摩地域／奥多摩町（人）,3,1,3,1,0,2
多摩地域／あきる野市（人）,18,9,10,15,12,13
多摩地域／日の出町（人）,-,-,-,-,-,-
多摩地域／檜原村（人）,-,-,-,-,-,-
多摩地域／八王子市（人）,130,119,113,113,91,113
多摩地域／町田市（人）,91,63,85,80,70,78
多摩地域／日野市（人）,32,35,38,27,37,34
多摩地域／多摩市（人）,19,37,34,24,28,28
多摩地域／稲城市（人）,10,16,18,12,20,15
多摩地域／調布市（人）,53,45,53,45,40,47
多摩地域／狛江市（人）,13,18,10,9,13,13
多摩地域／府中市（人）,45,47,42,46,41,44
多摩地域／小金井市（人）,25,22,26,22,21,23
多摩地域／武蔵野市（人）,22,18,22,22,21,21
多摩地域／三鷹市（人）,44,50,34,31,29,38
多摩地域／立川市（人）,38,30,36,34,43,36
多摩地域／昭島市（人）,26,26,21,18,20,22
多摩地域／国立市（人）,6,14,9,13,12,11
多摩地域／国分寺市（人）,23,26,23,13,17,20
多摩地域／東大和市（人）,18,18,14,12,16,16
多摩地域／武蔵村山市（人）,14,12,14,12,16,14
多摩地域／小平市（人）,32,30,28,33,35,32
多摩地域／西東京市（人）,35,33,30,36,34,34
多摩地域／東村山市（人）,30,43,38,25,34,34
多摩地域／清瀬市（人）,13,9,17,14,10,13
多摩地域／東久留米市（人）,27,23,23,17,17,21
