圏域名,保健所,福祉ホーム／箇所数,福祉ホーム／定員,グループホーム／箇所数,グループホーム／定員
特別区／区中央部,千代田区,-,-,1,4
特別区／区中央部,中央区,-,-,3,14
特別区／区中央部,港区,-,-,2,12
特別区／区中央部,文京区,-,-,4,16
特別区／区中央部,台東区,-,-,3,18
特別区／区南部,品川区,-,-,2,12
特別区／区南部,大田区,-,-,11,63
特別区／区西南部,目黒区,-,-,2,11
特別区／区西南部,世田谷区,-,-,16,91
特別区／区西南部,渋谷区,-,-,3,17
特別区／区西部,新宿区,1,8,8,51
特別区／区西部,中野区,-,-,7,35
特別区／区西部,杉並区,-,-,10,51
特別区／区西北部,豊島区,-,-,22,140
特別区／区西北部,北区,-,-,4,22
特別区／区西北部,板橋区,-,-,10,61
特別区／区西北部,練馬区,-,-,34,199
特別区／区東北部,荒川区,1,9,13,74
特別区／区東北部,足立区,-,-,9,56
特別区／区東北部,葛飾区,-,-,8,47
特別区／区東部,墨田区,1,7,4,23
特別区／区東部,江東区,-,-,7,41
特別区／区東部,江戸川区,-,-,19,111
島しょ／島しょ,大島町,-,-,-,-
島しょ／島しょ,利島村,-,-,-,-
島しょ／島しょ,新島村,-,-,-,-
島しょ／島しょ,神津島村,-,-,-,-
島しょ／島しょ,三宅村,-,-,-,-
島しょ／島しょ,御蔵島村,-,-,-,-
島しょ／島しょ,八丈町,-,-,3,15
島しょ／島しょ,青ヶ島村,-,-,-,-
島しょ／島しょ,小笠原村,-,-,-,-
