地域合計,福祉ホーム／箇所数,福祉ホーム／定員,グループホーム／箇所数,グループホーム／定員
東京都,3,24,369,2167
特別区,3,24,202,1169
多摩地域,-,-,164,983
島しょ,-,-,3,15
