区市町村,平成26年度（件）,平成27年度／１級（件）,平成27年度／２級（件）,平成27年度／３級（件）,平成27年度／計（件）,平成27年度／人口万対承認者数,H26～27年度累積交付数推計（件）
特別区／千代田区,148,10,65,65,140,25.4,288
特別区／中央区,334,18,131,176,325,22.7,659
特別区／港区,612,47,307,357,711,32,1323
特別区／新宿区,1404,67,619,714,1400,41.3,2804
特別区／文京区,590,28,303,346,677,31,1267
特別区／台東区,640,43,367,304,714,38.3,1354
特別区／墨田区,993,58,559,415,1032,39.9,2025
特別区／江東区,1671,106,873,820,1799,36.7,3470
特別区／品川区,943,50,477,495,1022,26.9,1965
特別区／目黒区,592,37,309,261,607,21.9,1199
特別区／大田区,1792,104,997,924,2025,28.5,3817
特別区／世田谷区,2341,150,1332,1176,2658,29.3,4999
特別区／渋谷区,604,20,305,353,678,31.2,1282
特別区／中野区,1043,70,550,521,1141,35.2,2184
特別区／杉並区,1670,102,923,826,1851,32.9,3521
特別区／豊島区,962,48,489,502,1039,34.7,2001
特別区／北区,1264,75,697,615,1387,40.6,2651
特別区／荒川区,704,49,440,437,926,44.3,1630
特別区／板橋区,2128,120,1056,1107,2283,41.6,4411
特別区／練馬区,2670,143,1483,1255,2881,39.6,5551
特別区／足立区,2885,173,1611,1311,3095,44.6,5980
特別区／葛飾区,1523,92,813,774,1679,37.7,3202
特別区／江戸川区,2342,153,1212,1172,2537,37.1,4879
島しょ／大島町,24,6,25,5,36,45.4,60
島しょ／利島村,2,-,1,2,3,88,5
島しょ／新島村,10,1,7,6,14,52.8,24
島しょ／神津島村,3,-,2,2,4,21.8,7
島しょ／三宅村,13,-,8,5,13,52.3,26
島しょ／御蔵島村,-,-,1,-,1,28.9,1
島しょ／八丈町,35,5,26,6,37,48,72
島しょ／青ヶ島村,-,-,-,-,-,-,-
島しょ／小笠原村,5,1,2,4,7,24.2,12
多摩地域／青梅市,525,68,281,205,554,41,1079
多摩地域／福生市,188,22,141,77,240,41,428
多摩地域／羽村市,173,8,124,92,224,40,397
多摩地域／瑞穂町,121,8,79,40,127,38,248
多摩地域／奥多摩町,20,2,15,5,22,42,42
多摩地域／あきる野市,246,27,144,107,278,35,524
多摩地域／日の出町,73,7,37,15,59,34,132
多摩地域／檜原村,6,0,9,1,10,45,16
多摩地域／八王子市,2262,221,1312,841,2374,41,4636
多摩地域／町田市,1709,116,959,777,1852,43,3561
多摩地域／日野市,564,35,297,275,607,33,1171
多摩地域／多摩市,714,37,400,286,723,49,1437
多摩地域／稲城市,302,13,165,139,317,36,619
多摩地域／調布市,888,58,503,341,902,40,1790
多摩地域／狛江市,260,17,138,102,257,32,517
多摩地域／府中市,924,63,521,416,1000,38,1924
多摩地域／小金井市,397,35,198,149,382,32,779
多摩地域／武蔵野市,490,28,309,224,561,39,1051
多摩地域／三鷹市,737,61,437,297,795,42,1532
多摩地域／立川市,769,69,466,316,851,47,1620
多摩地域／昭島市,357,31,254,161,446,40,803
多摩地域／国立市,292,13,164,151,328,43,620
多摩地域／国分寺市,437,31,231,171,433,35,870
多摩地域／東大和市,336,23,208,137,368,43,704
多摩地域／武蔵村山市,304,24,157,130,311,44,615
多摩地域／小平市,720,48,442,336,826,43,1546
多摩地域／西東京市,680,50,401,328,779,39,1459
多摩地域／東村山市,727,69,424,329,822,54,1549
多摩地域／清瀬市,392,35,264,148,447,60,839
多摩地域／東久留米市,458,35,275,199,509,44,967
