区市町村,平成26年,平成27年,平成28年
特別区／千代田区（人）,53100,55012,59441
特別区／中央区（人）,138492,143195,147620
特別区／港区（人）,217492,222007,248071
特別区／新宿区（人）,334363,339140,339211
特別区／文京区（人）,215301,218461,223389
特別区／台東区（人）,184751,186406,200486
特別区／墨田区（人）,255069,258424,260358
特別区／江東区（人）,482436,490152,502579
特別区／品川区（人）,374701,379561,392492
特別区／目黒区（人）,275701,277696,280283
特別区／大田区（人）,706748,711566,722608
特別区／世田谷区（人）,898754,906769,910868
特別区／渋谷区（人）,214511,217101,227850
特別区／中野区（人）,319270,323776,332902
特別区／杉並区（人）,557731,563058,570483
特別区／豊島区（人）,293628,299176,294673
特別区／北区（人）,338250,341277,345063
特別区／荒川区（人）,207067,209263,213648
特別区／板橋区（人）,542467,548962,569225
特別区／練馬区（人）,722710,726648,726748
特別区／足立区（人）,689395,694064,674067
特別区／葛飾区（人）,442607,445372,447140
特別区／江戸川区（人）,678497,684064,685899
島しょ／大島町（人）,8030,7930,7732
島しょ／利島村（人）,332,341,342
島しょ／新島村（人）,2710,2650,2684
島しょ／神津島村（人）,1825,1831,1843
島しょ／三宅村（人）,2559,2486,2436
島しょ／御蔵島村（人）,328,346,329
島しょ／八丈町（人）,7818,7713,7525
島しょ／青ヶ島村（人）,190,192,168
島しょ／小笠原村（人）,2835,2887,3029
多摩地域／青梅市（人）,136657,136247,136581
多摩地域／福生市（人）,58257,58216,58505
多摩地域／羽村市（人）,55885,55764,55620
多摩地域／瑞穂町（人）,33037,33095,33367
多摩地域／奥多摩町（人）,5347,5215,5132
多摩地域／あきる野市（人）,80825,80582,80787
多摩地域／日の出町（人）,17108,17148,17349
多摩地域／檜原村（人）,2246,2211,2145
多摩地域／八王子市（人）,579740,579581,577072
多摩地域／町田市（人）,428766,429317,433720
多摩地域／日野市（人）,182998,184975,187262
多摩地域／多摩市（人）,147649,147720,147280
多摩地域／稲城市（人）,86724,87719,89217
多摩地域／調布市（人）,226435,228443,232573
多摩地域／狛江市（人）,80508,81289,81119
多摩地域／府中市（人）,259082,261209,261991
多摩地域／小金井市（人）,120773,121352,122977
多摩地域／武蔵野市（人）,142548,143691,145296
多摩地域／三鷹市（人）,188023,189151,189577
多摩地域／立川市（人）,180247,180670,177110
多摩地域／昭島市（人）,111247,111481,111482
多摩地域／国立市（人）,75407,75655,73934
多摩地域／国分寺市（人）,122276,122791,123290
多摩地域／東大和市（人）,85228,85351,84876
多摩地域／武蔵村山市（人）,70524,70509,71419
多摩地域／小平市（人）,189692,191258,191406
多摩地域／西東京市（人）,199232,200075,200652
多摩地域／東村山市（人）,151872,151073,150116
多摩地域／清瀬市（人）,74369,74381,75072
多摩地域／東久留米市（人）,116214,116863,116566
