"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～66歳[人]","計[人]"
"男","0","208","269","199","282","94","1052"
"女","1","308","331","225","264","79","1208"
"合計","1","516","600","424","546","173","2260"

"令和5年度港区行政資料集　男女別年齢層別職員数（暫定再任用短時間勤務職員を含む）","Ver202304",,,,,,
