"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額","3305","2.3","1976819","948384","1.2"
"10万円を超える金額","22126","15.3","29987860","1016307","1.3"
"100万円を超える金額","26646","18.4","63948698","2492625","3.2"
"200万円を超える金額","20457","14.1","74397857","3163188","4.1"
"300万円を超える金額","14391","9.9","69368035","3067017","4.0"
"400万円を超える金額","14526","10.0","91083622","4144162","5.3"
"550万円を超える金額","9039","6.2","71546470","3294785","4.2"
"700万円を超える金額","10856","7.5","110552500","5526342","7.1"
"1,000万円を超える金額","23446","16.2","906357762","53883766","69.5"
"合計","144792","100","1419219623","77536576","100"

"令和元年度港区行政資料集　令和元年度特別区民税課税標準額段階別納税義務者数等","Ver201907",,,,
