"年度[西暦]","田町[人]","赤坂[人]","芝[人]","麻布東[人]","麻布西[人]","青山[人]","高輪[人]","芝浦港南[人]","合計[人]"
"2014","866447","308609","347911","139690","326983","543389","727267","599520","3859816"
"2015","872789","300878","367742","133457","324469","536783","769609","641329","3947056"
"2016","860716","293930","312823","128848","334440","541579","769379","659470","3901185"
"2017","913361","288558","289113","131056","344829","567010","773928","642598","3950453"
"2018","947499","306264","311892","142423","357277","579051","793030","648024","4085460"

"令和元年度港区行政資料集　コミュニティバス「ちぃばす」の利用者数","Ver201903",,,,,,,,
