"年度","被保護者数[人]","世帯数[世帯]","生活扶助 世帯数[世帯]","生活扶助 人員[人]","住宅扶助 世帯数[世帯]","住宅扶助 人員[人]","教育扶助 世帯数[世帯]","教育扶助 人員[人]","医療扶助 世帯数[世帯]","医療扶助 人員[人]","介護扶助 世帯数[世帯]","介護扶助 人員[人]","出産扶助 世帯数[世帯]","出産扶助 人員[人]","生業扶助 世帯数[世帯]","生業扶助 人員[人]","葬祭扶助 世帯数[世帯]","葬祭扶助 人員[人]","扶助 世帯数合計[世帯]","扶助 人員合計[人]"
"2017","2213","1871","1634","1948","1627","1928","53","81","1627","1848","442","453","1","1","38","54","6","6","5428","6319"
"2018","2118","1798","1585","1887","1584","1871","46","70","1561","1781","459","469","0","0","32","37","4","4","5271","6119"
"2019","2007","1727","1488","1748","1501","1745","40","60","1483","1669","456","465","0","0","30","37","4","4","5002","5728"
"2020","2036","1760","1499","1752","1507","1772","39","59","1497","1659","461","469","0","0","33","39","9","9","5045","5759"
"2021","2042","1765","1499","1746","1510","1767","42","63","1547","1725","454","459","0","0","28","34","5","5","5085","5799"

"令和4年度港区行政資料集　生活保護法による保護の実施状況","Ver202203",,,,,,,,,,,,,,,,,,,
