"年度[西暦]","地域ボランティア登録団体数[件]","出前授業登録講座件数[件]","出前授業実績件数[件]","職場体験登録団体数[件]","地域学校協働本部設置数[件]"
"2018","98","198","141","70","9"
"2019","94","202","198","70","18"
"2020","93","193","90","70","22"
"2021","93","194","88","70","25"
"2022","82","165","129","79","28"

"令和5年度港区行政資料集　地域学校協働活動推進事業","Ver202303",,,,
