"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2018",,
"期間（自）","20180401",,
"期間（至）","20190331",,
"前年度末純資産残高","3463826","3473382","-9555"
"本年度純資産変動額 本年度差額 純行政コスト","-106862",,"-106862"
"本年度純資産変動額 本年度差額 財源","122657",,"122657"
"本年度純資産変動額 本年度差額 財源 税収等","101553",,"101553"
"本年度純資産変動額 本年度差額 財源 国都等補助金","21104",,"21104"
"本年度純資産変動額 本年度差額","15795",,"15795"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"15537","-15537"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"7823","-7823"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-3543","3543"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"20848","-20848"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-9592","9592"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","19751","19751",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","35546","35288","258"
"本年度末純資産残高","3499372","3508669","-9297"

"一般会計財務書類（純資産変動計算書）(平成30年4月1日から平成31年3月31日)","Ver201903",,
