"年月日[西暦]","区分","面積[ha]","割合[%]"
"20230428","第１種低層住居専用地域","0.2","0.01"
"20230428","第１種中高層住居専用地域","454.0","22.29"
"20230428","第２種中高層住居専用地域","101.2","4.97"
"20230428","第１種住居地域","164.1","8.06"
"20230428","第２種住居地域","207.0","10.16"
"20230428","近隣商業地域","85.9","4.22"
"20230428","商業地域","643.1","31.57"
"20230428","準工業地域","366.7","18.00"
"20230428","計","2022.2","99.27"
"20230428","無指定面積","14.8","0.73"
"20230428","計＋無指定面積","2037.0","100.00"

"令和5年度港区行政資料集　用途地域","Ver202304",,
