"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ヘアーサロン　イダ","107-0052","東京都港区赤坂一丁目4番14号","葵町アネックス 1階","2001/5/2","13港み生環き第5号"
"アークヒルズヘアエステ　後藤","107-0052","東京都港区赤坂一丁目12番32号",,"1991/12/20","3港赤総衛環き第25号"
"ヨシノ理髪店","107-0052","東京都港区赤坂二丁目6番24号",,"2011/1/17","22港み生環き第160号"
"ＬＥＯＮ　赤坂","107-0052","東京都港区赤坂二丁目7番2号","REID-C 3階","2023/12/1","5港み生環き第166号"
"メンズヘア　Ｍ’Ｓ　（メンズヘア　エムズ）","107-0052","東京都港区赤坂二丁目12番15号","松田ビル1階","2002/3/22","13港み生環き第124号"
"ビュ－レックス　　スカイ","107-0052","東京都港区赤坂二丁目14番29号","鳳月堂ビル","1974/11/21","49赤保衛環き第35号"
"ラポーニュ","107-0052","東京都港区赤坂二丁目14番33号","栄屋清水ビル 4階","2006/7/27","18港み生環き第69号"
"Ｊ．Ｐ　ＣＲＥＷ　ＢＡＲＢＥＲ’Ｓ","107-0052","東京都港区赤坂二丁目18番12号","ビル・グーテ赤坂 3階","2022/4/27","4港み生環き第2号"
"アヅマ理髪館","107-0052","東京都港区赤坂二丁目19番5号",,"1965/8/26","第5号"
"Ｔ’ｓ　ＡＫＡＳＡＫＡ　ＢＡＲＢＥＲ","107-0052","東京都港区赤坂三丁目1番11号","鈴木ビル2階","2023/5/24","5港み生環き第27号"
"グレイスフルバーバー","107-0052","東京都港区赤坂三丁目8番18号","ビーグル赤坂見附ビル 4階","2017/6/30","29港み生環き第42号"
"プレミアムバーバー赤坂店","107-0052","東京都港区赤坂三丁目10番6号","雪華堂ビル 地下1階","2016/4/21","28港み生環き第3号"
"ビューレックス　スカイ","107-0052","東京都港区赤坂三丁目13番13号","中村ビル7階","2023/10/31","5港み生環き第143号"
"Ａｋａｓａｋａ　ｎｉｃｏ　（アカサカ　ニコ）","107-0052","東京都港区赤坂三丁目16番2号","榮林会館 4階","2017/12/27","29港み生環き第178号"
"Ａｋａｓａｋａ　Ｂａｒｂｅｒ　匠（アカサカ　バーバー）","107-0052","東京都港区赤坂三丁目18番3号","ラカーサ小林 2階","2015/12/28","27港み生環き第174号"
"ＢＥＡＣＯＮ　ＬＯＵＮＧＥ（ビーコン　ラウンジ）","107-0052","東京都港区赤坂三丁目18番10号","第2大坂屋ビル 1階","2012/12/12","24港み生環き第134号"
"赤坂　バーバーＫＵＢＯ（クボ）","107-0052","東京都港区赤坂四丁目3番31号","ライオンズマンション101号","2017/12/22","29港み生環き第128号"
"ＢＡＲＢＥＲ　ＴＡＩＹＯ（バーバータイヨー）","107-0052","東京都港区赤坂五丁目4番8号","クレールタイヨー 9階","2008/2/29","19港み生環き第124号"
"Ｌａｐｉｄｅｍ　ｔｏｋｙｏ","107-0052","東京都港区赤坂六丁目16番4号","AKASAKA GDビル3階","2019/12/13","31港み生環き第185号"
"ｔｉａｒｌ","107-0052","東京都港区赤坂六丁目17番7号","ヴィラ湯沢 204","2022/2/25","3港み生環き第229号"
"メンズヘヤーサロン　ＯＩＫＡＷＡ","107-0052","東京都港区赤坂七丁目5番33号","ベルバン赤坂 103号","1984/9/5","59港赤保衛環き第19号"
"ヘアーサロン　愛美","107-0052","東京都港区赤坂七丁目9番7号",,"1986/4/8","60港赤保衛環き第37号"
"クリスティ","107-0052","東京都港区赤坂八丁目5番8号",,"2008/3/19","19港み生環き第132号"
