反則行為の種類（略号）,"車両等の種類及び反則金額（単位：千円）
大型車","車両等の種類及び反則金額（単位：千円）
普通車","車両等の種類及び反則金額（単位：千円）
二輪車","車両等の種類及び反則金額（単位：千円）
小型特殊車","車両等の種類及び反則金額（単位：千円）
原付車"
速度超過高速道路３５以上４０未満,40,35,30,20,20
速度超過高速道路３０以上３５未満,30,25,20,15,15
速度超過２５以上３０未満,25,18,15,12,12
速度超過２０以上２５未満,20,15,12,10,10
速度超過１５以上２０未満,15,12,9,7,7
速度超過１５未満,12,9,7,6,6
積載物重量制限超過普通等１０割以上,＊,35,30,25,25
積載物重量制限超過５割以上１０割未満,40,30,25,20,20
積載物重量制限超過５割未満,30,25,20,15,15
携帯電話使用等（保持）違反,25,18,15,12,12
信号無視（赤色等）違反,12,9,7,6,6
信号無視（点滅）違反,9,7,6,5,5
整備不良制動装置等違反,12,9,7,6,6
整備不良尾灯等違反,9,7,6,5,5
作動状態記録装置不備,12,9,7,6,＊
自動運行装置使用条件違反,12,9,7,6,＊
遮断踏切立入り違反,15,12,9,7,7
通行区分違反,12,9,7,6,6
高速自動車国道等車間距離不保持違反,12,9,7,6,6
追越し違反,12,9,7,6,6
踏切不停止等違反,12,9,7,6,6
交差点安全進行義務違反,12,9,7,6,6
横断歩行者等妨害等違反,12,9,7,6,6
安全運転義務違反,12,9,7,6,6
本線車道横断等禁止違反,12,9,7,6,＊
高速自動車国道等運転者遵守事項違反,12,9,7,6,＊
法定横断等禁止違反,9,7,6,5,5
路面電車後方不停止違反,9,7,6,5,5
通行禁止違反,9,7,6,5,5
歩行者用道路徐行違反,9,7,6,5,5
歩行者側方安全間隔不保持等違反,9,7,6,5,5
急ブレーキ禁止違反,9,7,6,5,5
優先道路通行車妨害等違反,9,7,6,5,5
徐行場所違反,9,7,6,5,5
指定場所一時不停止等違反,9,7,6,5,5
積載物大きさ制限超過違反,9,7,6,5,5
積載方法制限超過違反,9,7,6,5,5
幼児等通行妨害違反,9,7,6,5,5
安全地帯徐行違反,9,7,6,5,5
免許条件違反,9,7,6,5,5
通行帯違反,7,6,6,5,5
路線バス等優先通行帯違反,7,6,6,5,＊
道路外出右左折合図車妨害違反,7,6,6,5,5
指定横断等禁止違反,7,6,6,5,5
車間距離不保持違反,7,6,6,5,5
進路変更禁止違反,7,6,6,5,5
追いつかれた車両の義務違反,7,6,6,5,5
乗合自動車発進妨害違反,7,6,6,5,5
割込み等違反,7,6,6,5,5
交差点右左折等合図車妨害違反,7,6,6,5,5
指定通行区分違反,7,6,6,5,5
交差点優先車妨害違反,7,6,6,5,5
無灯火違反,7,6,6,5,5
緊急車妨害等違反,7,6,6,5,5
減光等義務違反,7,6,6,5,5
合図不履行違反,7,6,6,5,5
合図制限違反,7,6,6,5,5
警音器吹鳴義務違反,7,6,6,5,5
乗車積載方法違反,7,6,6,5,5
定員外乗車違反,7,6,6,5,5
牽引違反,7,6,6,5,＊
泥はね運転違反,7,6,6,5,5
転落等防止措置義務違反,7,6,6,5,5
転落積載物等危険防止措置義務違反,7,6,6,5,5
安全不確認ドア開放等違反,7,6,6,5,5
停止措置義務違反,7,6,6,5,5
騒音運転等違反,7,6,6,5,5
初心運転者等保護義務違反,7,6,6,5,＊
公安委員会遵守事項違反,7,6,6,5,5
消音器不備違反,7,6,6,5,5
交差点等進入禁止違反,7,6,6,5,5
大型自動二輪車等乗車方法違反,＊,＊,12,＊,＊
最低速度違反,7,6,6,5,＊
本線車道通行車妨害違反,7,6,6,5,＊
本線車道緊急車妨害違反,7,6,6,5,＊
牽引自動車本線車道通行帯違反,7,6,＊,＊,＊
故障車両表示義務違反,7,6,6,5,＊
仮免許練習標識表示義務違反,7,6,＊,＊,＊
通行許可条件違反,6,4,4,3,3
歩道徐行等義務違反,＊,＊,＊,＊,3
路側帯進行方法違反,＊,＊,＊,＊,3
軌道敷内違反,6,4,4,3,3
道路外出右左折方法違反,6,4,4,3,3
交差点右左折方法違反,6,4,4,3,3
制限外許可条件違反,6,4,4,3,3
原付牽引違反,＊,＊,＊,＊,3
運行記録計不備違反,6,4,＊,＊,＊
初心運転者標識表示義務違反,6,4,＊,＊,＊
聴覚障害者標識表示義務違反,6,4,＊,＊,＊
本線車道出入方法違反,6,4,4,3,＊
警音器使用制限違反,3,3,3,3,3
免許証不携帯,3,3,3,3,3
