場所,行為,場所・方法,違反類型,車両等の種類及び反則金額（放置違反金）（単位：千円）・専用駐車区間等ではない場合・標章自動車が専用駐車区間等で違反した場合／大型車,車両等の種類及び反則金額（放置違反金）（単位：千円）・専用駐車区間等ではない場合・標章自動車が専用駐車区間等で違反した場合／普通車,車両等の種類及び反則金額（放置違反金）（単位：千円）・専用駐車区間等ではない場合・標章自動車が専用駐車区間等で違反した場合／二輪車又は原付車,車両等の種類及び反則金額（放置違反金）（単位：千円）一般車両が専用駐車区間等で違反した場合／大型車,車両等の種類及び反則金額（放置違反金）（単位：千円）一般車両が専用駐車区間等で違反した場合／普通車,車両等の種類及び反則金額（放置違反金）（単位：千円）一般車両が専用駐車区間等で違反した場合／二輪車又は原付車
時間制限駐車区間以外,放置,駐停車禁止場所,放置駐車違反（駐停車禁止場所等）,25,18,10,27,20,12
時間制限駐車区間以外,放置,駐車禁止場所・方法違反等,放置駐車違反（駐車禁止場所等）,21,15,9,23,17,11
時間制限駐車区間以外,非放置,駐停車禁止場所,駐停車違反（駐停車禁止場所等）,15,12,7,17,14,9
時間制限駐車区間以外,非放置,駐車禁止場所・方法違反等,駐停車違反（駐車禁止場所等）,12,10,6,14,12,8
時間制限駐車区間,署長許可車の時間超過／放置,時間超過,駐停車違反（駐車禁止場所等）,12,10,6,12,10,6
時間制限駐車区間,署長許可車の時間超過／非放置,時間超過,駐停車違反（駐車禁止場所等）,12,10,6,12,10,6
時間制限駐車区間,指定部分・方法に従う／放置,時間超過、パーキング・チケットの不発給・不掲示,駐停車違反（駐車禁止場所等）,12,10,6,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
時間制限駐車区間,指定部分・方法に従う／非放置,時間超過、パーキング・チケットの不発給・不掲示,駐停車違反（駐車禁止場所等）,12,10,6,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
時間制限駐車区間,指定部分・方法に従わない／放置,駐停車禁止場所（指定部分以外）,放置駐車違反（駐停車禁止場所等）,25,18,10,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
時間制限駐車区間,指定部分・方法に従わない／放置,駐車禁止場所・方法違反等,放置駐車違反（駐車禁止場所等）,21,15,9,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
時間制限駐車区間,指定部分・方法に従わない／非放置,駐停車禁止場所（指定部分以外）,駐停車違反（駐停車禁止場所等）,15,12,7,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
時間制限駐車区間,指定部分・方法に従わない／非放置,駐車禁止場所・方法違反等,駐停車違反（駐車禁止場所等）,12,10,6,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間,高齢運転者等時間制限駐車区間
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分／放置,駐停車禁止場所,放置駐車違反（駐停車禁止場所等）,-,-,-,27,20,12
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分／放置,駐車禁止場所・方法違反等,放置駐車違反（駐車禁止場所等）,-,-,-,23,17,11
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分／非放置,駐停車禁止場所,駐停車違反（駐停車禁止場所等）,-,-,-,17,14,9
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分／非放置,駐車禁止場所・方法違反等,駐停車違反（駐車禁止場所等）,-,-,-,14,12,8
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分以外／放置,駐停車禁止場所,放置駐車違反（駐停車禁止場所等）,-,-,-,25,18,10
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分以外／放置,駐車禁止場所・方法違反等,放置駐車違反（駐車禁止場所等）,-,-,-,21,15,9
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分以外／非放置,駐停車禁止場所,駐停車違反（駐停車禁止場所等）,-,-,-,15,12,7
一般車両の高齢運転者等時間制限駐車区間での駐車,指定部分以外／非放置,駐車禁止場所・方法違反等,駐停車違反（駐車禁止場所等）,-,-,-,12,10,6
