"名称","名称かな","所在地","投票区名","分類HCODE","経度","緯度","分類"
"武蔵台小学校（投票所）","むさしだいしょうがっこう（とうひょうじょ）","中野区上鷺宮五丁目１番１号","第39投票区","560200","139.62984582224","35.7278864741106","投票所"
"（旧）西中野小学校（投票所）","（きゅう）にしなかのしょうがっこう（とうひょうじょ）","中野区白鷺三丁目９番２号","第38投票区","560200","139.631435074363","35.7206622127529","投票所"
"上鷺宮区民活動センター（投票所）","かみさぎのみやくみんかつどうせんたー（とうひょうじょ）","中野区上鷺宮三丁目７番６号","第40投票区","560200","139.632112583198","35.7319401077825","投票所"
"鷺の杜小学校【（旧）第八中学校】（投票所）","さぎのもりしょうがっこう【（きゅう）だいはちちゅうがっこう】（とうひょうじょ）","中野区鷺宮四丁目７番３号","第37投票区","560200","139.635915833286","35.7239297859756","投票所"
"野方区民活動センター（期日前投票所）","のがたくみんかつどうせんたー（きじつぜんとうひょうじょ）","中野区野方五丁目３番１号","","560100","139.653114599153","35.7182481162206","期日前投票所"
"若宮児童館（投票所）","わかみやじどうかん（とうひょうじょ）","中野区若宮三丁目５４番７号","第36投票区","560200","139.640832242396","35.7202011682602","投票所"
"美鳩小学校【（旧）大和小学校】（投票所）","みはとしょうがっこう【（きゅう）やまとしょうがっこう】（とうひょうじょ）","中野区大和町四丁目２６番５号","第35投票区","560200","139.645366670002","35.7144911742652","投票所"
"明和中学校【（旧）第四中学校】（投票所）","めいわちゅうがっこう【（きゅう）だいよんちゅうがっこう】（とうひょうじょ）","中野区若宮一丁目１番１８号","第33投票区","560200","139.649728135938","35.716184914757","投票所"
"北原小学校（投票所）","きたはらしょうがっこう（とうひょうじょ）","中野区野方六丁目３０番６号","第32投票区","560200","139.651579483821","35.7209835633425","投票所"
"啓明小学校（投票所）","けいめいしょうがっこう（とうひょうじょ）","中野区大和町一丁目１８番１号","第34投票区","560200","139.652377547393","35.713225058363","投票所"
"野方区民活動センター（期日前投票所）","のがたくみんかつどうせんたー（きじつぜんとうひょうじょ）","中野区野方五丁目３番１号","","560100","139.653118069615","35.7182481393455","期日前投票所"
"緑野小学校（投票所）","みどりのしょうがっこう（とうひょうじょ）","中野区丸山一丁目１７番１号","第31投票区","560200","139.657608707655","35.7253646474465","投票所"
"にじいろのがた学童クラブ【（旧）沼袋小学校】（投票所）","にじいろのがたがくどうくらぶ【（きゅう）ぬまぶくろしょうがっこう】（とうひょうじょ）","中野区沼袋三丁目１３番２号","第30投票区","560200","139.659488369065","35.7175978126555","投票所"
"平和の森小学校（投票所）","へいわのもりしょうがっこう（とうひょうじょ）","中野区新井三丁目２９番１号","第29投票区","560200","139.659652394667","35.7146792829101","投票所"
