年度（和暦）,年度（西暦）,収受件数（件）,発議件数（件）,月平均（件）,前年度比
平成29年度,2017,33110,31615,5394,-0.014794521
平成30年度,2018,33298,31264,5380,-0.002595476
平成31年度,2019,33627,30890,5376,-0.000743494
令和２年度,2020,33870,29203,5256,-0.022321429
令和３年度,2021,34246,29106,5279,0.004
令和４年度,2022,31593,28605,5017,0.049785326
