年度（西暦）,大気汚染,水質汚濁,土壌汚染,騒音,騒音のうち低周波音,振動,地盤沈下,悪臭,その他
2017,9,,,20,3,,,2,55
2018,2,,,14,,1,,4,61
2019,7,1,,10,1,3,,3,39
2020,1,,,19,,2,1,5,32
2021,3,,,25,2,2,,3,44
