年度,調定（現年課税分：千円）,調定（滞納繰越分：千円）,収入（現年課税分：千円）,収入（滞納繰越分：千円）
2017,13776427,197963,13715975,82846
2018,14230566,141489,14164278,52155
2019,14602981,133074,14501457,55768
2020,14571763,156040,14471820,73871
2021,14517825,165883,14436128,82195
2022,14873021,145378,14781622,74707
