区分,校地面積（建物敷地）（㎡）,校地面積（屋外運動場）（㎡）,校舎等（鉄筋コンクリート）（㎡）,校舎等（その他）（㎡）,校舎等（屋内運動場）（㎡）,開校年月日
一小,5066,4479,5749,380,922,明治5年9月25日
三小,9475,6490,5130,165,787,昭和32年10月1日
五小,6170,4285,4233,159,694,昭和43年4月1日
六小,6130,4398,4949,44,700,昭和46年4月1日
和泉小,5841,6444,5049,134,711,平成13年4月1日
緑野小,7301,6278,7213,14,854,平成17年4月1日
一中,10252,8202,6113,196,926,昭和22年4月1日
二中,9313,6517,5526,363,1848,昭和42年4月1日
三中,6246,7087,4734,89,953,昭和48年4月1日
四中,6370,6505,4435,87,946,昭和55年4月1日
