年度（和暦）,年度（西暦）,中央図書館（一般書）,中央図書館（児童書）,野川地域センター図書室（一般書）,野川地域センター図書室（児童書）,上和泉地域センター図書室（一般書）,上和泉地域センター図書室（児童書）,岩戸地域センター図書室（一般書）,岩戸地域センター図書室（児童書）,南部地域センター図書室（一般書）,南部地域センター図書室（児童書）,西河原公民館図書室（一般書）,西河原公民館図書室（児童書）
平成29年度,2017,8235,1872,716,278,534,331,516,219,786,239,1295,631
平成30年度,2018,6925,1317,1254,494,630,195,819,216,763,279,1536,1015
平成31年度,2019,6263,1058,773,724,728,262,530,417,575,293,441,540
令和２年度,2020,3975,529,376,202,487,285,388,39,806,628,456,311
令和３年度,2021,4173,596,674,289,722,279,426,287,641,232,884,264
令和４年度,2022,4657,1691,726,406,1145,400,539,256,643,555,1623,562
