年（和暦）,年（西暦）,15歳～39歳までの就業者総数（男）,15歳～39歳までの農業就業者数（男）,15歳～39歳までの林業就業者数（男）,15歳～39歳までの漁業就業者数（男）,15歳～39歳までの鉱業、採石業、砂利採取業就業者数（男）,15歳～39歳までの建設業就業者数（男）,15歳～39歳までの製造業就業者数（男）,15歳～39歳までの電気・ガス・熱供給・水道業就業者数（男）,15歳～39歳までの情報通信業就業者数（男）,15歳～39歳までの運輸業、郵便業就業者数（男）,15歳～39歳までの卸売・小売業就業者数（男）,15歳～39歳までの金融・保険業就業者数（男）,15歳～39歳までの不動産業、物品賃貸業就業者数（男）,15歳～39歳までの学術研究、専門・技術サービス業就業者数（男）,15歳～39歳までの宿泊業、飲食サービス業就業者数（男）,15歳～39歳までの生活関連サービス業、娯楽業就業者数（男）,15歳～39歳までの教育・学習支援業就業者数（男）,15歳～39歳までの医療・福祉業就業者数（男）,15歳～39歳までの複合ｻｰﾋﾞｽ事業就業者数（男）,15歳～39歳までのサービス業（他に分類されないもの）就業者数（男）,15歳～39歳までの公務（他に分類されないもの）就業者数（男）,40歳～64歳までの就業者総数（男）,40歳～64歳までの農業就業者数（男）,40歳～64歳までの林業就業者数（男）,40歳～64歳までの漁業就業者数（男）,40歳～64歳までの鉱業、採石業、砂利採取業就業者数（男）,40歳～64歳までの建設業就業者数（男）,40歳～64歳までの製造業就業者数（男）,40歳～64歳までの電気・ガス・熱供給・水道業就業者数（男）,40歳～64歳までの情報通信業就業者数（男）,40歳～64歳までの運輸業、郵便業就業者数（男）,40歳～64歳までの卸売・小売業就業者数（男）,40歳～64歳までの金融・保険業就業者数（男）,40歳～64歳までの不動産業、物品賃貸業就業者数（男）,40歳～64歳までの学術研究、専門・技術サービス業就業者数（男）,40歳～64歳までの宿泊業、飲食サービス業就業者数（男）,40歳～64歳までの生活関連サービス業、娯楽業就業者数（男）,40歳～64歳までの教育・学習支援業就業者数（男）,40歳～64歳までの医療・福祉業就業者数（男）,40歳～64歳までの複合ｻｰﾋﾞｽ事業就業者数（男）,40歳～64歳までのサービス業（他に分類されないもの）就業者数（男）,40歳～64歳までの公務（他に分類されないもの）就業者数（男）,65歳以上までの就業者総数（男）,65歳以上までの農業就業者数（男）,65歳以上までの林業就業者数（男）,65歳以上までの漁業就業者数（男）,65歳以上までの鉱業、採石業、砂利採取業就業者数（男）,65歳以上までの建設業就業者数（男）,65歳以上までの製造業就業者数（男）,65歳以上までの電気・ガス・熱供給・水道業就業者数（男）,65歳以上までの情報通信業就業者数（男）,65歳以上までの運輸業、郵便業就業者数（男）,65歳以上までの卸売・小売業就業者数（男）,65歳以上までの金融・保険業就業者数（男）,65歳以上までの不動産業、物品賃貸業就業者数（男）,65歳以上までの学術研究、専門・技術サービス業就業者数（男）,65歳以上までの宿泊業、飲食サービス業就業者数（男）,65歳以上までの生活関連サービス業、娯楽業就業者数（男）,65歳以上までの教育・学習支援業就業者数（男）,65歳以上までの医療・福祉業就業者数（男）,65歳以上までの複合ｻｰﾋﾞｽ事業就業者数（男）,65歳以上までのサービス業（他に分類されないもの）就業者数（男）,65歳以上までの公務（他に分類されないもの）就業者数（男）
平成27年,2015年,7063,53,1,1,1,438,563,47,964,254,1045,190,197,469,510,209,303,356,24,419,237,10541,106,0,1,9,1113,1276,63,1194,611,1300,441,368,792,305,236,465,419,44,728,318,2658,90,0,0,2,329,183,7,63,143,284,25,249,206,92,92,108,120,2,373,29
令和２年,2020年,6511,37,0,0,2,395,474,34,1032,244,979,190,176,471,488,261,369,392,15,433,306,10987,90,1,0,9,1089,1245,56,1516,663,1394,428,420,963,351,287,451,510,40,903,335,2874,81,0,0,2,342,158,8,91,156,287,33,293,272,91,93,132,156,1,446,42
