年度（和暦）,年度（西暦）,総額（円）,市民税合計（円）,市民税(個人)（円）,市民税(法人)（円）,固定資産税合計（円）,固定資産税(純固定資産税)（円）,固定資産税(交付金)（円）,軽自動車税（円）,市たばこ税（円）,特別土地保有税（円）,都市計画税（円）
平成30年度,2018,12511360079,6964205450,6609458550,354746900,4196550000,4123253100,73296900,44251200,339307829,0,967045600
平成31年度,2019,12904388344,7262133389,6922003089,340130300,4279444300,4206750900,72693400,45589900,341300455,0,975920300
令和２年度,2020,12922310118,7209697387,6879636987,330060400,4318929600,4251216000,67713600,47713800,362409531,0,983559800
令和３年度,2021,12871914203,7194772007,6899545307,295226700,4268092100,4205436300,62655800,49526700,382650096,0,976873300
令和４年度,2022,13194925462,7393356667,7091953867,301402800,4360345900,4301877500,58468400,52280800,389568495,0,999373600
