年（和暦）,年（西暦）,田の経営体数,田の面積（単位：ａ）,畑の経営体数,畑の面積（単位：ａ）,樹園地の経営体数,樹園地の面積（単位：ａ）
平成17年,2005年,0,0,66,2866,16,494
平成22年,2010年,0,0,62,2846,30,487
平成27年,2015年,0,0,61,2259,31,625
令和２年,2020年,1,10,57,1974,23,619
