年度（和暦）,年度（西暦）,調定額(千円),本数(千本)
平成30年度,2018,339308,68702
平成31年度,2019,341301,60272
令和2年度,2020,362409,67582
令和3年度,2021,382650,65496
令和4年度,2022,389568,59458
