年度（和暦）,年度（西暦）,中央図書館における一般書の購入,中央図書館における児童書の購入,野川地域センター図書室における一般書の購入,野川地域センター図書室における児童書の購入,上和泉地域センター図書室における一般書の購入,上和泉地域センター図書室における児童書の購入,岩戸地域センター図書室における一般書の購入,岩戸地域センター図書室における児童書の購入,南部地域センター図書室における一般書の購入,南部地域センター図書室における児童書の購入,西河原公民館図書室における一般書の購入,西河原公民館図書室における児童書の購入,中央図書館における一般書の寄贈,中央図書館における児童書の寄贈,野川地域センター図書室における一般書の寄贈,野川地域センター図書室における児童書の寄贈,上和泉地域センター図書室における一般書の寄贈,上和泉地域センター図書室における児童書の寄贈,岩戸地域センター図書室における一般書の寄贈,岩戸地域センター図書室における児童書の寄贈,南部地域センター図書室における一般書の寄贈,南部地域センター図書室における児童書の寄贈,西河原公民館図書室における一般書の寄贈,西河原公民館図書室における児童書の寄贈
平成29年度,2017,5855,1767,739,398,774,330,675,410,728,388,637,325,917,101,200,50,107,22,89,8,101,2,103,1
平成30年度,2018,5794,1686,639,443,712,337,672,357,676,454,597,287,942,107,143,37,76,5,68,25,93,2,82,2
平成31年度,2019,5889,1558,594,543,733,286,613,395,647,396,586,305,700,70,61,7,85,7,87,32,81,6,86,9
令和２年度,2020,4895,1837,766,353,815,299,645,399,670,445,620,363,902,72,86,9,72,9,73,0,100,30,142,6
令和３年度,2021,5418,1632,628,389,689,296,620,344,621,375,709,333,1034,214,65,10,149,200,21,4,70,71,91,4
令和４年度,2022,5174,1622,494,481,670,280,595,339,567,389,634,312,759,208,80,90,216,123,46,11,59,21,53,5
