年度（和暦）,年度（西暦）,課税地積計（㎡）,非課税地積計（㎡）,筆数,宅地課税地積計（㎡）,宅地非課税地積計（㎡）,宅地筆数,畑課税地積計（㎡）,畑非課税地積計（㎡）,畑筆数,山林課税地積計（㎡）,山林非課税地積計（㎡）,山林筆数,雑種地課税地積計（㎡）,雑種地非課税地積計（㎡）,雑種地筆数,その他課税地積計（㎡）,その他非課税地積計（㎡）,その他筆数
平成30年度,2018,3975955,1436669,42663,3419068,152040,25939,380049,7475,1036,7847,0,15,168991,35178,1067,0,1241976,14606
平成31年度,2019,3986724,1431336,42850,3437604,151267,26077,378632,798,1009,7315,0,14,163173,34460,897,0,1244811,14853
令和２年度,2020,3985133,1433307,43090,3450193,149152,26260,367937,1254,993,7654,0,15,159349,38104,880,0,1244797,14942
令和３年度,2021,3984704,1435726,43227,3460639,149047,26387,358494,1254,971,7654,0,15,157917,38109,879,0,1247316,14975
令和４年度,2022,3985764,1436640,43327,3470186,148973,26445,351901,1271,958,7654,0,15,156023,38102,884,0,1248294,15025
