年（和暦）,年（西暦）,15～29歳男,15～29歳女,30～49歳男,30～49歳女,50～64歳男,50～64歳女,65歳以上男,65歳以上女
平成17年,2005年,5,0,22,4,21,13,34,29
平成22年,2010年,6,1,23,4,25,9,27,30
平成27年,2015年,5,0,18,4,25,10,34,30
令和２年,2020年,0,0,17,5,19,4,32,19
