年度（和暦）,年度（西暦）,中央図書館（一般）,野川地域センター図書室（一般）,上和泉地域センター図書室（一般）,岩戸地域センター図書室（一般）,南部地域センター図書室（一般）,西河原公民館図書室（一般）,中央図書館（児童）,野川地域センター図書室（児童）,上和泉地域センター図書室（児童）,岩戸地域センター図書室（児童）,南部地域センター図書室（児童）,西河原公民館図書室（児童）
平成29年度,2017,15524,1098,801,1053,982,1479,2955,308,171,200,207,452
平成30年度,2018,15675,1063,767,1129,1026,1407,3212,306,161,204,223,402
平成31年度,2019,15397,1007,787,1248,1008,1438,3229,298,140,214,211,358
令和２年度,2020,14886,999,720,1122,973,1355,3063,248,120,207,199,336
令和３年度,2021,14875,957,677,1081,936,1296,2989,246,102,181,194,268
令和４年度,2022,14736,912,656,1069,927,1288,2829,242,99,190,193,309
