年度（和暦）,年度（西暦）,特別土地保有税(千円),都市計画税(千円)
平成30年度,2018,0,967045
平成31年度,2019,0,975920
令和２年度,2020,0,983559
令和３年度,2021,0,976873
令和４年度,2022,0,999374
