年度（和暦）,年度（西暦）,住民基本台帳人口,住民基本台帳人口の指数,職員数の合計,職員数の指数,男性職員数,女性職員数,職員１人当たりの人口
平成30年度,2018,81788,100,436,100,221,215,188
平成31年度,2019,82481,100.8,440,100.9,222,218,187
令和２年度,2020,83257,101.8,448,102.8,223,225,186
令和３年度,2021,83268,101.8,444,101.8,220,224,188
令和４年度,2022,83022,101.5,438,100.5,215,223,190
