年度（西暦）,年度（和暦）,納税義務者数(人),固定資産税（土地）(千円),固定資産税（家屋）(千円),固定資産税（償却資産）(千円),交付金(千円)
平成30年度,2018,26587,2223652,1617239,282362,73297
平成31年度,2019,26784,2232225,1690606,283920,72693
令和２年度,2020,27043,2212519,1749122,289575,67714
令和３年度,2021,27147,2195538,1734180,275718,62656
令和４年度,2022,27279,2232994,1785087,283797,58468
