年度（和暦）,年度（西暦）,東京都（円）,財務省（円）,沖縄県（円）,法務省（円）
平成30年度,2018,72171300,78400,1047200,0
平成31年度,2019,71582400,83100,1001700,26200
令和２年度,2020,66574800,83900,995200,59700
令和３年度,2021,61548600,85600,988600,33000
令和４年度,2022,57362200,85600,996400,24200
