年度（和暦）,年度（西暦）,総数,総数のうち「条例」,総数のうち「規則」,総数のうち「規程」,総数のうち「要綱」
平成29年度,2017,169,23,41,5,100
平成30年度,2018,216,22,70,8,116
平成31年度,2019,297,53,78,16,150
令和２年度,2020,268,33,73,7,155
令和３年度,2021,294,30,81,12,171
令和４年度,2022,301,41,97,8,155
