年度(和暦),年度(西暦),登録年月日(和暦),登録年月日(西暦),総数(人),男(人),女(人)
平成30年度,2018年度,平30.9.3,20180903,69879,33563,36316
平成31年度,2019年度,令1.9.2,20190902,70650,33836,36814
令和2年度,2020年度,令2.9.1,20200901,70725,33906,36819
令和3年度,2021年度,令3.9.1,20210901,70666,33853,36813
令和4年度,2022年度,令4.9.1,20220901,70464,33721,36743
