執行日(和暦),執行日(西暦),選挙の種類,得票数合計,得票数(自由民主党),得票率(自由民主党),得票数(日本共産党),得票率(日本共産党),得票数(公明党),得票率(公明党),得票数(無所属),得票率(無所属),得票数(生活者ネット),得票率(生活者ネット),得票数(社会民主党),得票率(社会民主党),得票数(日本第一党),得票率(日本第一党),得票数(ごぼうの党),得票率(ごぼうの党),得票数(立憲民主党),得票率(立憲民主党),得票数(維進政党・新風),得票率(維進政党・新風),得票数(政権交代によるコロナ対策強化新党),得票率(政権交代によるコロナ対策強化新党),得票数(こどもの党),得票率(こどもの党),得票数(新党やまと),得票率(新党やまと),得票数(参政党),得票率(参政党),得票数(日本維新の会),得票率(日本維新の会),得票数(新党くにもり),得票率(新党くにもり),得票数(沖縄の米軍基地を東京へ引き取る党),得票率(沖縄の米軍基地を東京へ引き取る党),得票数(ファーストの会),得票率(ファーストの会),得票数(日本改革党),得票率(日本改革党),得票数(日本のこころ),得票率(日本のこころ),得票数(幸福実現党),得票率(幸福実現党),得票数(都民ファーストの会),得票率(都民ファーストの会),得票数(核融合党),得票率(核融合党),得票数(天命党),得票率(天命党),得票数(共和党),得票率(共和党),得票数(支持政党なし),得票率(支持政党なし),得票数((略称)メタバース党),得票率((略称)メタバース党),得票数(スマイル党),得票率(スマイル党),得票数((略称)自由共和党),得票率((略称)自由共和党),得票数(希望の党),得票率(希望の党),得票数(オリーブの木),得票率(オリーブの木),得票数(国民民主党),得票率(国民民主党),得票数(安楽死制度を考える会),得票率(安楽死制度を考える会),得票数(れいわ新選組),得票率(れいわ新選組),得票数(NHKから国民を守る党),得票率(NHKから国民を守る党),得票数(日本無党派党),得票率(日本無党派党),得票数(労働の解放をめざす労働者党),得票率(労働の解放をめざす労働者党),得票数(平和党),得票率(平和党)
平29.7.2,20170702,東京都議会議員選挙,36464,8497,23.3,7374,20.22,7999,21.94,12594,34.54,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
平29.10.22,20171022,衆議院議員選挙（小選挙区）,38319,16615,43.36,4323,11.28,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,12785,33.36,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,4596,11.99,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
平29.10.22,20171022,衆議院議員選挙（比例代表選出）,38574,11112,28.81,4873,12.63,3698,9.59,-, - ,-, - ,416,1.08,-, - ,-, - ,9996,25.91,-, - ,-, - ,-, - ,-, - ,-, - ,1227,3.18,-, - ,-, - ,-, - ,-, - ,221,0.57,95,0.25,-, - ,-, - ,-, - ,-, - ,774,2.01,-, - ,-, - ,-, - ,6162,15.97,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
平31.4.21,20190421,狛江市議会議員選挙,33361.999,10117,30.32,6217,18.63,4516.548,13.54,8154.451,24.44,1178,3.53,809,2.42,-, - ,-, - ,2370,7.1,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
令1.7.21,20190721,参議院議員選挙（東京都選出）,37764,10792,28.58,5711,15.12,4385,11.61,733,2,-, - ,627,1.66,-, - ,-, - ,8550,22.64,-, - ,-, - ,-, - ,-, - ,-, - ,2982,7.9,-, - ,-, - ,-, - ,-, - ,-, - ,193,0.51,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,118,0.31,1116,2.96,266,0.7,1548,4.1,721,1.91,22,0.06,-, - ,-, - 
令1.7.21,20190721,参議院議員選挙（比例代表選出）,38029.997,11830.562,31.11,5104.171,13.42,3656,9.61,-, - ,-, - ,771,2.03,-, - ,-, - ,7345,19.31,-, - ,-, - ,-, - ,-, - ,-, - ,2912,7.66,-, - ,-, - ,-, - ,-, - ,-, - ,126,0.33,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,140.105,0.37,1679,4.41,305,0.8,3307.159,8.7,812,2.14,-, - ,42,0.11,-, - 
令2.7.5,20200705,東京都議会議員補欠選挙,37527,16364,43.61,12313,32.81,-, - ,-, - ,8850,23.58,-, - ,-, - ,-, - ,-,-,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
令3.7.4,20210704,東京都議会議員選挙,32357,6569,20.3,7210,22.28,5988,18.51,-, - ,-, - ,-, - ,-, - ,-, - ,4835,14.94,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,7755,23.97,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - 
令3.10.31,20211031,衆議院議員選挙（小選挙区）,41978,20081,47.84,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,16491,39.28,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,4746,11.31,660,1.57,-, - ,-, - ,-, - 
令3.10.31,20211031,衆議院議員選挙（比例代表選出）,42327,13275,31.36,5145,12.16,4223,9.98,-, - ,-, - ,658,1.55,189,0.45,-, - ,8565.854,20.24,-, - ,44,0.1,-, - ,93,0.22,-, - ,4549,10.75,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,1865.145,4.41,-, - ,3192,7.54,528,1.25,-, - ,-, - ,-, - 
