年,学校数,学級数,児童総数（人）,男子児童総数（人）,女子児童総数（人）,１年男子（人）,１年女子（人）,２年男子（人）,２年女子（人）,３年男子（人）,３年女子（人）,４年男子（人）,４年女子（人）,５年男子（人）,５年女子（人）,６年男子（人）,６年女子（人）
2012年,6,109,3194,1659,1535,265,239,247,287,303,263,271,235,279,260,294,251
2013年,6,108,2987,1443,1544,255,252,90,242,243,287,309,261,268,242,278,260
2014年,6,105,3183,1632,1551,291,265,257,257,261,239,247,288,307,258,269,244
2015年,6,108,3244,1675,1569,306,262,288,266,255,258,269,236,252,288,305,259
2016年,6,109,3246,1664,1582,285,267,311,260,293,263,253,262,268,238,254,292
2017年,6,110,3267,1702,1565,283,269,287,265,314,267,292,264,261,261,265,239
2018年,6,111,3394,1741,1653,315,306,279,273,281,269,312,275,294,267,260,263
2019年,6,116,3518,1818,1700,327,299,313,314,280,279,290,264,313,274,295,270
2020年,6,121,3622,1861,1761,333,327,329,296,315,318,281,277,290,266,313,277
2021年,6,125,3701,1882,1819,334,337,330,326,326,295,314,316,283,278,295,267
2022年,6,126,3779,1926,1853,342,294,332,340,331,325,325,298,317,319,279,277
