西暦（暦年）,和暦（暦年）,有償貸付面積（㎡）,有償貸付金額（千円）,有償貸付件数（件）,無償貸付面積（㎡）,無償貸付件数（件）
2017年度,平成29年度,,,,1115.17,3
2018年度,平成30年度,,,,1115.17,3
2019年度,平成31年度,,,,1115.17,3
2020年度,令和２年度,,,,1115.17,3
2021年度,令和３年度,,,,1115.17,3
