年度（和暦）,年度（西暦）,中央図書館（一般書）,中央図書館（児童書）,中央図書館（雑誌）,野川地域センター図書室（一般書）,野川地域センター図書室（児童書）,野川地域センター図書室（雑誌）,上和泉地域センター図書室（一般書）,上和泉地域センター図書室（児童書）,上和泉地域センター図書室（雑誌）,岩戸地域センター図書室（一般書）,岩戸地域センター図書室（児童書）,岩戸地域センター図書室（雑誌）,南部地域センター図書室（一般書）,南部地域センター図書室（児童書）,南部地域センター図書室（雑誌）,西河原公民館図書室（一般書）,西河原公民館図書室（児童書）,西河原公民館図書室（雑誌）,電子図書館（貸出回数）,電子図書館（閲覧回数）
平成29年度,2017,194924,106925,21747,17673,20708,2163,15659,15266,1957,24070,21969,2560,16994,16032,1603,20624,20806,3115,-,-
平成30年度,2018,202477,114215,22308,17649,21875,1976,15714,16689,1924,23372,23385,2337,16811,16857,1679,15335,14059,2607,-,-
平成31年度,2019,191207,113687,21470,8876,11759,956,15968,17235,2370,23453,25599,2313,16411,17913,1302,22216,19382,3476,-,-
令和２年度,2020,148502,99136,17922,11848,15459,1548,10886,10674,1528,17447,21905,1810,12807,16158,1456,17990,14343,2981,6915,18220
令和３年度,2021,184378,134751,20694,12915,16263,1157,11172,9926,1292,18506,22932,1714,13579,18711,1375,17248,14562,2766,5975,16011
令和４年度,2022,165337,115021,17485,15438,20969,1642,14149,13435,1530,23072,26135,2255,16217,19507,1529,21127,18423,3124,5733,15074
