施設,開館日数(日),登録者・個人一般(人),登録者・個人児童(人),登録者・団体,実利用者・一般(人),実利用者・児童(人),貸出利用者・個人一般(人),貸出利用者・個人児童(人),貸出利用者・団体,蔵書数・一般書(冊),蔵書数・児童書(冊),雑誌タイトル数,新聞タイトル数,貸出冊数・個人一般書(冊),貸出冊数・個人児童書(冊),貸出冊数・個人雑誌(冊),貸出冊数・団体一般書(冊),貸出冊数・団体児童書(冊),貸出冊数・団体雑誌(冊),予約冊数・一般書(冊),予約冊数・児童書(冊),予約冊数・雑誌(冊),配送便回数・図書室(回),配送便回数・学校(回),配送便回数・保育園等(回),配送便回数・高齢者施設(回),電子書籍・タイトル数,電子書籍・貸出回数（回）,電子書籍・閲覧回数（回）,図書館ホームページ年間アクセス回数（回）
中央図書館,297,14736,2829,76,7622,1514,95098,12519,408,127463,51390,150,15,165337,115021,17485,521,2346,117,62131,26062,3405,154,85,10,6,12879,5733,15074,301873
野川地域センター図書室,327,912,242,0,493,158,8912,2441,1,12877,10361,22,0,15438,20969,1642,0,1,0,5354,3405,306,-,-,-,-,-,-,-,-
上和泉地域センター図書室,327,656,99,2,376,78,8109,1325,8,17213,10060,22,0,14149,13435,1530,0,113,0,4063,2304,379,-,-,-,-,-,-,-,-
岩戸地域センター図書室,327,1069,190,1,621,128,13468,2773,10,12706,9456,20,0,23072,26135,2255,0,35,0,8451,4525,604,-,-,-,-,-,-,-,-
南部地域センター図書室,327,927,193,0,532,140,9203,2088,2,10767,10469,17,0,16217,19507,1529,1,1,0,5499,2847,604,-,-,-,-,-,-,-,-
西河原公民館図書室,314,1288,309,4,706,199,14894,2535,64,19543,11954,47,4,21127,18423,3124,5,155,1,5453,3920,306,-,-,-,-,-,-,-,-
