年度区分（和暦）,年度区分（西暦）,収益的収入（下水道事業収益：円）,収益的収入（営業収益：円）,収益的収入（営業外収益：円）,収益的支出（下水道事業費用：円）,収益的支出（営業費用：円）,収益的支出（営業外費用：円）,収益的支出（特別損失：円）,資本的収入（資本的収入：円）,資本的収入（企業債：円）,資本的収入（負担金等：円）,資本的収入（国庫補助金：円）,資本的収入（都補助金：円）,資本的収入（他会計補助金：円）,資本的支出（資本的支出：円）,資本的支出（建設改良費：円）,資本的支出（固定資産購入費：円）,資本的支出（企業債償還金：円）
令和２年,2020,1402740552,1171774407,230966145,1272072320,1181528385,69650937,20892998,219752248,76500000,10053354,9480000,450000,123268894,374325525,142061409,8957506,223306610
令和３年,2021,1419047703,1156547564,262500139,1257299663,1215406015,41893648,0,489602439,373700000,10112798,9956000,497000,95336641,675662397,404655797,38829222,232177378
令和４年,2022,1425959011,1167127352,258831659,1305531037,1252103376,53427661,0,334038181,72100000,134617873,28071000,1402000,97847308,495976738,226998443,32518033,236460262
