年度（和暦）,年度（西暦）,調定額（千円）,調定件数（件）
平成30年度,2018,44251,9147
平成31年度,2019,45590,9058
令和２年度,2020,47714,9030
令和３年度,2021,49527,9132
令和４年度,2022,52281,9199
