年次（和暦）,年次（西暦）,狛江市の世帯数,狛江市の人口,狛江市の人口密度,東京都の人口
大正14年,1925年,452,2854,464,4485144
昭和１年,1926年,464,2929,476,4694400
昭和2年,1927年,498,3224,524,4897400
昭和3年,1928年,527,3949,642,5101400
昭和4年,1929年,570,3961,644,5300000
昭和5年,1930年,584,4031,655,5408678
昭和6年,1931年,620,4115,669,5521100
昭和7年,1932年,667,4165,677,5755600
昭和8年,1933年,700,4170,678,5975100
昭和9年,1934年,721,4246,690,6176900
昭和10年,1935年,754,4267,694,6369919
昭和11年,1936年,784,4357,708,6586500
昭和12年,1937年,792,4407,717,6725700
昭和13年,1938年,890,4500,732,6875600
昭和14年,1939年,…,5314,864,7081600
昭和15年,1940年,1028,6128,996,7354971
昭和16年,1941年,1232,7845,1276,7284300
昭和17年,1942年,1319,9221,1499,7357800
昭和18年,1943年,1351,9988,1624,7332600
昭和19年,1944年,…,9871,1605,7271000
昭和20年,1945年,1833,9757,1587,3488284
昭和21年,1946年,2024,9779,1590,4183072
昭和22年,1947年,1957,9237,1502,5000777
昭和23年,1948年,…,9735,1583,5417871
昭和24年,1949年,2200,10480,1704,5950775
昭和25年,1950年,2296,10319,1678,6277500
昭和26年,1951年,…,10406,1692,6712494
昭和27年,1952年,2394,10933,1778,7108749
昭和28年,1953年,2416,11363,1848,7468907
昭和29年,1954年,2857,12657,2058,7773648
昭和30年,1955年,3113,13496,2194,8039214
昭和31年,1956年,3367,14373,2337,8111233
昭和32年,1957年,3562,15318,2491,8408710
昭和33年,1958年,4323,17175,2793,8751593
昭和34年,1959年,4938,19349,3146,9081817
昭和35年,1960年,5600,21485,3493,9416364
昭和36年,1961年,6631,24199,3935,9725764
昭和37年,1962年,7590,26742,4348,9984821
昭和38年,1963年,9280,29197,4747,10224309
昭和39年,1964年,10674,32702,5317,10467231
昭和40年,1965年,11768,34916,5677,10667390
昭和41年,1966年,12854,38420,6247,10898133
昭和42年,1967年,14627,42677,6939,10983963
昭和43年,1968年,15962,47540,7730,11124879
昭和44年,1969年,18194,54432,8851,11249603
昭和45年,1970年,19210,57468,9344,11337809
昭和46年,1971年,19979,59428,9663,11411539
昭和47年,1972年,20794,61317,9970,11516697
昭和48年,1973年,21361,63082,10257,11593104
昭和49年,1974年,22479,65967,10726,11630209
昭和50年,1975年,23104,67565,10986,11641248
昭和51年,1976年,23571,68428,11127,11670399
昭和52年,1977年,23807,68723,11174,11662356
昭和53年,1978年,24026,69404,11285,11654533
昭和54年,1979年,24672,69249,11260,11646555
昭和55年,1980年,24883,68853,11196,11627359
昭和56年,1981年,24965,68469,11133,11608747
昭和57年,1982年,25569,69098,11235,11613838
昭和58年,1983年,26139,69809,11351,11649762
昭和59年,1984年,26731,70218,11418,11705883
昭和60年,1985年,27237,70744,11503,11770565
昭和61年,1986年,28282,72300,11756,11833639
昭和62年,1987年,28846,72760,11831,11890583
昭和63年,1988年,29434,73257,11912,11891875
昭和64年,1989年,29726,72981,11867,11890551
平成2年,1990年,29897,72534,11351,11865271
平成3年,1991年,30475,72838,11399,11851079
平成4年,1992年,31056,72983,11421,11872911
平成5年,1993年,31516,73038,11430,11863250
平成6年,1994年,32018,73253,11464,11824784
平成7年,1995年,32229,72868,11403,11785176
平成8年,1996年,32707,72926,11413,11766175
平成9年,1997年,33053,72816,11395,11790107
平成10年,1998年,33280,72682,11374,11840937
平成11年,1999年,34141,73543,11509,11908664
平成12年,2000年,34521,73665,11528,11983971
平成13年,2001年,34838,73741,11540,12079680
平成14年,2002年,35376,74263,11622,12195673
平成15年,2003年,36054,75158,11762,12303899
平成16年,2004年,36294,75239,11774,12399890
平成17年,2005年,36651,75644,11838,12491286
平成18年,2006年,37099,76308,11942,12593160
平成19年,2007年,37196,76074,11905,12692117
平成20年,2008年,37501,76149,11917,12805039
平成21年,2009年,37700,75995,11893,12907066
平成22年,2010年,37892,76255,11933,12991242
平成23年,2011年,37799,76085,11907,13050454
平成24年,2012年,37854,75978,11890,13184161
平成25年,2013年,38509,77109,12067,13222760
平成26年,2014年,38959,77923,12195,13202041
平成27年,2015年,39591,79096,12378,13389584
平成28年,2016年,40192,80008,12521,13507347
平成29年,2017年,40806,80807,12646,13646764
平成30年,2018年,41533,81788,12799,13754059
平成31年,2019年,42157,82481,12908,13740732
令和2年,2020年,42682,83257,13029,13834925
令和3年,2021年,42980,83268,13031,13843525
令和4年,2022年,43134,83022,12992,13988129
