年度（和暦）,年度（西暦）,総数,15歳未満,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50歳以上
平成28年度,2016,739,0,0,21,127,284,247,57,3,0
平成29年度,2017,721,0,3,22,136,267,228,64,1,0
平成30年度,2018,662,0,1,21,126,243,223,47,0,1
平成31年度,2019,708,-,3,21,127,288,205,62,2,-
令和２年度,2020,619,-,2,19,109,241,201,45,2,-
令和３年度,2021,595,-,4,11,104,237,186,50,2,1
