年（和暦）,年（西暦）,15歳～39歳までの就業者総数（女）,15歳～39歳までの農業就業者数（女）,15歳～39歳までの林業就業者数（女）,15歳～39歳までの漁業就業者数（女）,15歳～39歳までの鉱業、採石業、砂利採取業就業者数（女）,15歳～39歳までの建設業就業者数（女）,15歳～39歳までの製造業就業者数（女）,15歳～39歳までの電気・ガス・熱供給・水道業就業者数（女）,15歳～39歳までの情報通信業就業者数（女）,15歳～39歳までの運輸業、郵便業就業者数（女）,15歳～39歳までの卸売・小売業就業者数（女）,15歳～39歳までの金融・保険業就業者数（女）,15歳～39歳までの不動産業、物品賃貸業就業者数（女）,15歳～39歳までの学術研究、専門・技術サービス業就業者数（女）,15歳～39歳までの宿泊業、飲食サービス業就業者数（女）,15歳～39歳までの生活関連サービス業、娯楽業就業者数（女）,15歳～39歳までの教育・学習支援業就業者数（女）,15歳～39歳までの医療・福祉業就業者数（女）,15歳～39歳までの複合ｻｰﾋﾞｽ事業就業者数（女）,15歳～39歳までのサービス業（他に分類されないもの）就業者数（女）,15歳～39歳までの公務（他に分類されないもの）就業者数（女）,40歳～64歳までの就業者総数（女）,40歳～64歳までの農業就業者数（女）,40歳～64歳までの林業就業者数（女）,40歳～64歳までの漁業就業者数（女）,40歳～64歳までの鉱業、採石業、砂利採取業就業者数（女）,40歳～64歳までの建設業就業者数（女）,40歳～64歳までの製造業就業者数（女）,40歳～64歳までの電気・ガス・熱供給・水道業就業者数（女）,40歳～64歳までの情報通信業就業者数（女）,40歳～64歳までの運輸業、郵便業就業者数（女）,40歳～64歳までの卸売・小売業就業者数（女）,40歳～64歳までの金融・保険業就業者数（女）,40歳～64歳までの不動産業、物品賃貸業就業者数（女）,40歳～64歳までの学術研究、専門・技術サービス業就業者数（女）,40歳～64歳までの宿泊業、飲食サービス業就業者数（女）,40歳～64歳までの生活関連サービス業、娯楽業就業者数（女）,40歳～64歳までの教育・学習支援業就業者数（女）,40歳～64歳までの医療・福祉業就業者数（女）,40歳～64歳までの複合ｻｰﾋﾞｽ事業就業者数（女）,40歳～64歳までのサービス業（他に分類されないもの）就業者数（女）,40歳～64歳までの公務（他に分類されないもの）就業者数（女）,65歳以上までの就業者総数（女）,65歳以上までの農業就業者数（女）,65歳以上までの林業就業者数（女）,65歳以上までの漁業就業者数（女）,65歳以上までの鉱業、採石業、砂利採取業就業者数（女）,65歳以上までの建設業就業者数（女）,65歳以上までの製造業就業者数（女）,65歳以上までの電気・ガス・熱供給・水道業就業者数（女）,65歳以上までの情報通信業就業者数（女）,65歳以上までの運輸業、郵便業就業者数（女）,65歳以上までの卸売・小売業就業者数（女）,65歳以上までの金融・保険業就業者数（女）,65歳以上までの不動産業、物品賃貸業就業者数（女）,65歳以上までの学術研究、専門・技術サービス業就業者数（女）,65歳以上までの宿泊業、飲食サービス業就業者数（女）,65歳以上までの生活関連サービス業、娯楽業就業者数（女）,65歳以上までの教育・学習支援業就業者数（女）,65歳以上までの医療・福祉業就業者数（女）,65歳以上までの複合ｻｰﾋﾞｽ事業就業者数（女）,65歳以上までのサービス業（他に分類されないもの）就業者数（女）,65歳以上までの公務（他に分類されないもの）就業者数（女）
平成27年,2015年,6461,8,0,0,0,87,325,14,532,82,1153,308,149,360,539,362,390,912,16,352,147,7787,34,0,0,0,224,407,9,345,93,1337,370,238,439,421,343,688,1511,40,519,223,1810,33,0,0,0,69,68,0,25,15,266,31,156,55,142,142,80,261,1,208,16
令和２年,2020年,6895,7,0,0,1,132,368,11,750,77,1241,320,164,472,520,395,478,1078,20,422,196,9008,41,0,0,0,213,488,19,510,114,1559,434,323,522,458,432,769,1879,41,634,299,2104,39,0,0,-,64,63,1,26,16,320,36,195,86,133,144,108,390,3,254,19
