区分,合計児童数（人）,1年児童数（人）,2年児童数（人）,3年児童数（人）,4年児童数（人）,5年児童数（人）,6年児童数（人）,特別支援学級児童数（人）,特別支援教室児童数（人）,教員数合計（人）,男性教員数（人）,女性教員数（人）
全校,"3,779",625,659,645,612,626,547,65,254,209,88,121
第一小,862,141,153,155,146,131,110,26,41,46,22,24
第三小,570,103,114,104,77,99,67,6,41,33,13,20
第五小,657,98,114,92,119,108,126,,44,29,12,17
第六小,556,100,84,99,95,94,84,,39,26,10,16
和泉小,530,84,89,90,88,92,87,,40,36,14,22
緑野小,604,99,105,105,87,102,73,33,49,39,17,22
