年（和暦）,年（西暦）,持ち家世帯数,公営借家世帯数,民営借家世帯数,給与住宅世帯数,間借り世帯数,寄宿舎その他世帯数,持ち家世帯人員,公営借家世帯人員,民営借家世帯人員,給与住宅世帯人員,間借り世帯人員,寄宿舎その他世帯人員,持ち家世帯当たり延べ面積（㎡）,公営借家世帯当たり延べ面積（㎡）,民営借家世帯当たり延べ面積（㎡）,給与住宅世帯当たり延べ面積（㎡）,間借り世帯当たり延べ面積（㎡）,寄宿舎その他世帯当たり延べ面積（㎡）,持ち家1人当たり延べ面積（㎡）,公営借家1人当たり延べ面積（㎡）,民営借家1人当たり延べ面積（㎡）,給与住宅1人当たり延べ面積（㎡）,間借り1人当たり延べ面積（㎡）,寄宿舎その他1人当たり延べ面積（㎡）,
平成17年,2005年,16775,2757,16584,774,292,605,44608,5526,24490,2045,561,613,90.3,36.2,31.5,59.4,41.9,-,28.4,34,18.1,21.4,22.5,21.8,-
平成22年,2010年,17898,2793,16808,604,359,682,45617,5173,24539,1445,698,729,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27年,2015年,19223,2652,16187,485,410,477,48337,4514,23926,1106,750,661,-,-,-,-,-,-,-,-,-,-,-,-,-
令和２年,2020年,20834,2610,17455,690,622,367,51321,4120,25386,1242,1037,482,-,-,-,-,-,-,-,-,-,-,-,-,-
