年（和暦）,年（西暦）,従業者数１～４人規模の事業所数,従業者数１～４人規模の事業所の従業者数,従業者数５～９人規模の事業所数,従業者数５～９人規模の事業所の従業者数,従業者数10～19人規模の事業所数,従業者数10～19人規模の事業所の従業者数,従業者数20～29人規模の事業所数,従業者数20～29人規模の事業所の従業者数,従業者数30～49人規模の事業所数,従業者数30～49人規模の事業所の従業者数,従業者数50～99人規模の事業所数,従業者数50～99人規模の事業所の従業者数,従業者数100人以上の規模の事業所数,従業者数100人以上の規模の事業所の従業者数,出向・派遣事業者のみ
平成24年,2012年,2078,17712,377,2433,174,2311,69,1641,48,1779,20,1438,15,5103,4
平成26年,2014年,2081,16838,364,2346,179,2365,76,1796,66,2505,24,1636,12,3265,2
平成28年,2016年,1956,15428,354,2326,184,2449,64,1544,45,1684,21,1379,12,3321,4
