区分,職員数の合計（人）,事務･技術系（人）,技能・労務系（人）
18～19歳,0,0,0
20～23歳,5,5,0
24～27歳,25,25,0
28～31歳,40,40,0
32～35歳,59,59,0
36～39歳,57,57,0
40～43歳,49,49,0
44～47歳,65,63,2
48～51歳,48,43,5
52～55歳,55,48,7
56～60歳,34,28,6
61～65歳,1,1,0
