区分,合計児童数（人）,1年児童数（人）,2年児童数（人）,3年児童数（人）,特別支援学級児童数（人）,特別支援教室児童数（人）,教員数合計（人）,男性教員数（人）,女性教員数（人）
全校,1417,463,470,457,27,64,102,56,46
第一中,426,139,140,129,18,21,28,16,12
第二中,422,143,136,143,0,17,32,17,15
第三中,288,94,99,86,9,11,23,11,12
第四中,281,87,95,99,0,15,19,12,7
