年度（和暦）,年度（西暦）,法律相談,人権身の上相談,行政相談,交通事故相談,土地家屋調査測量表示登記相談,不動産取引相談,相続相談,登記相談,就職相談,労働相談,カウンセリング心の相談,税務相談,消費生活相談,女性悩みごと相談（女性のためのカウンセリング）
平成29年度,2017,450,1,0,27,17,31,135,45,0,2,75,44,398,23
平成30年度,2018,465,8,2,16,8,24,147,50,1,4,83,53,569,21
平成31年度,2019,446,10,5,16,5,26,131,49,1,6,79,54,603,23
令和２年度,2020,338,0,0,6,6,15,109,38,0,8,73,42,549,38
令和３年度,2021,426,-,1,15,12,27,144,46,0,9,64,59,457,39
令和４年度,2022,406,8,0,14,11,22,128,55,0,7,83,63,488,42
