西暦（暦年）,和暦（暦年）,宅地他の土地（㎡）,宅地他の建物（㎡）,山林（㎡）,原野（㎡）,その他（㎡）
2017年度,平成29年度,13031,1280,,9975,
2018年度,平成30年度,13032,1280,,9975,
2019年度,平成31年度,13933,1115,,9975,
2020年度,令和２年度,13934,1115,,9975,
2021年度,令和３年度,13932,1115,,9975,
