回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
1,2,1,3,2,3,3,4,4,3,4,3,4,4,,,2,,,,1,3,1,1,2,,,,1,4,2,,1,7,,,,,2,6,,,,,2,2,1,2,2,2,1,11,,,,,,,1,2,4,,,,,,,,,,,2,2,3,1,11,,,,,,,,きょうだい,1,1,1,2,1,5,5,3,4,8,,,,,,,,・駄菓子屋　・大きな公園、遊具も様々な物がある。
2,2,1,3,3,3,3,4,4,3,3,3,4,4,4,,,,,,2,1,1,1,2,,,,2,2,2,,8,,,,,,2,1,2,3,,,3,3,3,3,2,4,4,1,,,,,,,1,4,,,,,,,,,,,,1,2,1,1,,,,,,,,,,4,3,1,2,3,2,3,2,1,4,5,7,8,,,,,図書館をきれいにしてほしい。児童館を増やしてほしい。
3,2,1,1,,3,,,,,,,,,,,1,,,,1,2,1,1,2,,,,2,5,1,,1,5,,,,,3,1,,,,,1,1,1,3,1,2,1,11,,,,,,,1,7,8,,,,,,,,,,,1,2,3,1,4,5,,,,,,,,1,5,5,5,5,5,5,5,3,,,,,,,,,
4,2,1,1,3,3,4,4,4,3,4,3,4,1,1,おばあちゃん家,1,11,12,,1,3,1,1,2,3,,,2,4,2,,1,2,7,,,,2,1,3,,,,1,2,2,3,2,1,3,5,6,8,,,,,1,3,4,6,8,,,,,,,,,1,2,4,1,3,5,,,,,,,,1,2,5,3,2,4,2,3,3,4,6,,,,,,,・いろんな人が平等に接しあえる施設や場所をつくってほしい。
5,2,3,3,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,2,,,,1,5,1,,1,2,7,,,,6,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,,,,,,,,,,3,3,2,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,5,9,,,,,,,
6,1,1,3,3,2,,4,3,1,4,4,4,4,3,の川,,,,,7,4,1,1,2,3,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,13,,,,,1,2,,,,,,,,,,,,,1,1,3,3,3,3,3,5,8,9,,,,,,,公園をたくさん増やしてほしい。
7,1,1,3,4,4,4,4,3,2,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,3,5,2,,1,3,,,,,4,1,,,,,1,1,1,2,1,2,2,11,,,,,,,1,2,7,,,,,,,,,,,3,2,4,1,3,,,,,,,,,2,5,3,4,2,3,3,3,4,5,9,,,,,,,・公園を増やす（ボール遊びができる）
8,3,1,2,3,3,4,4,4,4,4,3,4,4,,,7,,,,1,3,1,1,,,,,2,4,2,,1,7,,,,,4,2,,,,,3,2,1,4,3,2,2,4,,,,,,,1,4,6,8,,,,,,,,,,1,3,3,1,,,,,,,,,,2,5,3,5,3,4,1,5,4,5,,,,,,,,・友達作りができるような場所（なるべく気軽に行けるような）　・性別や見た目などを気にせず遊んだりできるような場所
9,1,1,3,4,3,3,3,4,2,4,4,4,4,,,1,,,,1,3,1,1,2,,,,1,5,2,,1,7,,,,,2,5,,,,ふくむ場合：宿題,1,2,1,2,1,1,2,11,,,,,,,1,3,4,5,6,7,8,9,10,11,13,,,1,2,4,1,,,,,,,,,,1,5,3,5,5,5,5,5,1,3,4,6,8,,,,,・大人も子供も楽しめるイベント場を作ってほしい。
10,1,1,3,4,2,4,4,3,4,4,4,4,4,4,,1,,,,1,2,1,1,2,5,,,1,3,2,,3,7,,,,,4,1,,,,,1,2,1,1,1,1,1,11,,,,,,,1,2,4,,,,,,,,,,,2,2,2,1,3,,,,,,,,,1,2,5,5,5,5,5,5,4,5,9,,,,,,,ぼくは、バトミントンなどのスポーツができる場所を増やしてほしいです。なぜなら、ぼくが市民体育館に行った時、コートをとるためにくじをしていたからです。スポーツができる場所を増やせば、自由に使えます。中学校の部活にも。
11,2,1,,,,,,,,,,,,,,1,,,,1,5,1,1,2,,,,1,3,5,3,1,7,,,,,2,5,,,,英悟のドリル,2,4,1,3,3,1,4,11,,,,,,,1,2,7,8,,,,,,,,,,1,2,1,1,4,5,11,,,,,,弟,2,5,5,5,2,2,2,2,3,5,6,,,,,,,何かささいなことでも親身に話をきいてくれる場所がほしい。楽しく勉強をする施設がほしい（集中もできる）趣味をとことんうちこめる場所。しんどくなってしまって（精神が）つらくなってもいったら落ちつく場所。こわい先生がいない勉強する所。たのしく運動し放題の場所。すごく、くつろげて、友だちと一緒に遊べる場所。
12,1,1,,4,3,4,4,4,2,4,4,4,4,,,1,,,,1,5,1,1,,,,,2,5,2,,1,5,7,,,,3,1,2,3,,,1,1,1,1,1,1,1,11,,,,,,,1,3,4,5,,,,,,,,,,3,3,4,1,2,,,,,,,,,1,5,5,5,5,3,5,3,4,5,7,8,9,,,,,えだ豆アイスをほぼ毎日買えるようにしてほしい。
13,1,1,1,3,3,4,4,4,3,4,4,4,4,,,9,,,,1,2,1,1,,,,,3,4,2,,1,2,,,,,3,2,,,,,2,2,1,3,3,2,1,11,,,,,,,1,2,4,6,,,,,,,,,,2,2,4,1,3,,,,,,,,,2,5,5,3,2,5,3,5,1,5,8,,,,,,,地域の人と交流ができるイベントや子ども向けの交流会を企画してほしい。
14,1,1,1,4,3,4,4,4,4,4,3,4,3,,,,,,,1,1,1,1,,,,,1,4,1,,1,5,,,,,3,1,,,,,2,2,2,3,2,1,2,11,,,,,,,1,8,,,,,,,,,,,,3,3,2,1,3,,,,,,,,,1,3,3,2,2,3,3,3,3,4,6,8,,,,,,
15,2,,3,3,2,2,4,3,3,3,3,3,4,4,,4,,,,1,3,1,1,2,,,,1,4,1,,1,2,5,7,,,4,1,4,,,,1,2,1,1,1,1,1,11,,,,,,,1,7,8,9,,,,,,,,,,1,2,2,1,4,5,6,,,,,,,1,5,3,3,2,2,2,3,1,2,3,4,5,6,7,8,9,特になし
16,2,,3,,,,,,,,,,,,,1,,,,1,2,2,1,2,,,,2,4,2,,3,7,,,,,4,1,,,,,2,2,1,2,1,3,3,11,,,,,,,1,4,,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,,2,3,3,3,3,3,3,4,5,,,,,,,高学年が集まれる公園を作ってほしい。
17,1,1,1,4,3,4,4,4,4,4,4,4,1,,,1,,,,8,2,1,1,2,,,,2,5,1,,1,7,,,,,3,2,,,,,2,1,1,2,2,1,2,11,,,,,,,1,,,,,,,,,,,,,3,3,2,1,3,,,,,,,,,1,2,5,5,3,4,3,5,5,6,,,,,,,,安全に大きな静かに勉強できる図書館が建ってほしい。
18,2,1,1,3,2,,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,3,3,2,,1,5,,,,,3,1,,,,,3,3,2,4,2,2,3,11,,,,,,,1,,,,,,,,,,,,,2,2,4,1,2,3,4,,,,,,,2,5,5,5,5,5,5,5,3,4,5,,,,,,,安心して遊べる公園をつくってほしいです。
