従業、通学地,総数,就業者,通学者
狛江市に常住する就業者・通学者,"41,805","38,379",3426
狛江市で従業・通学,"10,596","10,259",337
自宅,"4,330","4,330",0
自宅外,"6,266","5,929",337
他市区町村で従業・通学,"30,170","27,165",3005
東京都,"26,436","23,797",2639
千代田区,"2,451","2,336",115
中央区,"1,186","1,182",4
港区,"2,646","2,590",56
新宿区,"2,606","2,399",207
文京区,380,299,81
台東区,211,207,4
墨田区,123,119,4
江東区,460,445,15
品川区,716,677,39
目黒区,464,376,88
大田区,408,388,20
世田谷区,"5,324","4,705",619
渋谷区,"2,445","2,297",148
中野区,273,223,50
杉並区,609,391,218
豊島区,422,374,48
北区,85,76,9
荒川区,43,39,4
板橋区,103,91,12
練馬区,116,100,16
足立区,71,61,10
葛飾区,32,31,1
江戸川区,60,54,6
八王子市,283,190,93
立川市,183,163,20
武蔵野市,161,131,30
三鷹市,305,240,65
青梅市,11,11,0
府中市,453,388,65
昭島市,31,28,3
調布市,"1,800","1,690",110
町田市,509,368,141
小金井市,69,45,24
小平市,44,27,17
日野市,78,61,17
東村山市,13,13,0
国分寺市,43,35,8
国立市,68,38,30
福生市,4,4,0
東大和市,5,5,0
清瀬市,7,3,4
東久留米市,21,19,2
武蔵村山市,9,9,0
多摩市,263,230,33
稲城市,119,102,17
羽村市,5,5,0
あきる野市,4,3,1
西東京市,25,22,3
瑞穂町,4,4,0
日の出町,1,1,0
大島町,1,1,0
新島村,1,1,0
八丈町,1,1,0
小笠原村,2,2,0
他県,"3,734","3,368",366
茨城県,24,20,4
栃木県,13,13,0
埼玉県,281,250,31
千葉県,153,139,14
神奈川県,3182,2871,311
その他の県,81,75,6
