年次・月次,年次・月次６桁,平均気温（℃）,最高気温平均（℃）,最低気温平均（℃）,平均湿度（％）,最小湿度（％）,最小湿度月日①,最小湿度月日②,最小湿度月日③,平均風速（m/s）,最大風速（m/s）,最大風速方向①,最大風速方向②,最大風速月日①,最大風速月日②,日照時間（H）,日照率（％）,地震回数（震度1以上）,総降水量（mm）,最大降水量（mm）,最大降水量月日,快晴日数,曇天日数,雨日数,雪日数,積雪日数,霧発生日数,雷発生日数,不照日数,風速10m以上日数
平成22年,201000,16.9,20.7,13.6,61,11,2010/1/13,2010/3/21,2010/11/9,2.9,14.6,南,-,2010/3/21,-,1987,45,48,1679.5,102,2010/9/8,34,151,125,14,6,1,11,61,13
平成23年,201100,16.5,20.3,13.1,58,9,2011/1/16,2011/4/4,-,2.9,16.9,南,-,2011/9/21,-,2056.2,46,463,1479.5,124,2011/9/21,36,145,101,13,3,0,13,46,14
平成24年,201200,16.3,20,13.1,62,11,2012/1/2,-,-,3,16.3,南,-,2012/6/19,-,2022.9,46,131,1570,121.5,2012/5/3,29,149,123,10,5,1,26,53,11
平成25年,201300,17.1,21,13.6,61,13,2013/2/8,2013/2/25,-,3.1,14.5,南南西,-,2013/3/13,-,2131.1,48,91,1614,176.5,2013/10/16,53,137,111,5,6,0,19,44,20
平成26年,201400,16.6,20.5,13.3,62,8,2014/1/4,-,-,2.9,11.8,南,-,2014/3/18,-,2104,47,65,1808,148.5,2014/10/5,46,153,113,11,10,0,20,51,14
平成27年,201500,16.4,20.8,12.8,68,12,2015/2/13,2015/5/11,-,2.8,11,北北西,南南西,2015/2/15,2015/12/11,1966.6,44,66,1781.5,156.5,2015/9/9,39,165,129,11,2,0,13,67,14
平成28年,201600,16.4,20.9,12.7,69,9,2016/1/3,-,-,2.8,12.6,南,-,2016/4/17,-,1841.7,41,71,1779,106.5,2016/8/22,24,181,128,6,3,0,8,62,8
平成29年,201700,15.8,20.4,12.1,68,13,2017/1/3,-,-,2.9,13.7,南南東,-,2017/10/23,-,2050.9,46,60,1430,147.5,2017/10/22,39,163,114,7,1,0,14,56,10
平成30年,201800,16.8,21.2,13,70,14,2018/1/2,-,-,3,18.2,南,-,2018/10/1,-,2112.2,48,64,1445.5,58,2018/3/9,34,156,116,11,10,0,14,47,15
平成31年,201900,16.5,20.9,12.8,70,15,2019/1/5,-,-,2.9,17.8,南南東,-,2019/10/12,-,1909,43,52,1874,209.5,2019/10/12,35,153,131,6,3,1,12,68,10
令和２年平均,202000,16.5,21,12.8,71,15,2020/1/12,-,-,2.8,13.1,北西,-,2020/3/16,-,1889.5,43,65,1590,132,2020/4/13,29,156,135,6,1,0,17,64,12
令和２年1月,202001,7.1,11.1,3.7,65,25,2020/1/1,-,-,2.4,8.8,北西,-,2020/1/31,-,139.8,45,3,135,55.5,2020/1/28,4,9,10,4,-,0,0,5,0
令和２年2月,202002,8.3,13.3,4,55,18,2020/1/2,-,-,2.7,10.8,南,-,2020/2/22,-,196.1,62,10,15,8.5,2020/2/16,4,4,4,-,-,0,0,2,1
令和２年3月,202003,10.7,16,6.2,65,18,2020/1/3,-,-,3.1,13.1,北西,-,2020/3/16,-,181.9,49,2,131,51.5,2020/3/29,5,10,11,2,1,0,0,8,4
令和２年4月,202004,12.8,18.2,7.9,66,22,2020/1/4,-,-,3.2,11,西北西,-,2020/4/2,-,213.4,55,6,296.5,132,2020/4/13,3,9,14,-,-,0,1,3,3
令和２年5月,202005,19.5,24,15.6,75,23,2020/1/5,-,-,3.1,9.8,南南西,-,2020/5/1,-,175.5,40,7,118,54.5,2020/5/19,1,17,13,-,-,0,2,7,0
令和２年6月,202006,23.2,27.5,19.8,82,37,2020/1/6,-,-,2.8,12,南,-,2020/6/1,-,136.3,31,5,212.5,50,2020/6/19,-,22,15,-,-,0,1,9,2
令和２年7月,202007,24.3,27.7,21.8,89,48,2020/1/7,-,-,3.1,10.2,南,-,2020/7/1,-,47.7,11,6,270.5,40.5,2020/7/6,-,29,25,-,-,0,4,11,1
令和２年8月,202008,29.1,34.1,25.3,76,32,2020/1/8,-,-,2.8,8.4,南,-,2020/8/6,-,254.7,61,8,61.5,38,2020/8/23,1,4,5,-,-,0,5,-,0
令和２年9月,202009,24.2,28.1,21.5,83,36,2020/1/9,-,-,2.9,10.4,南,-,2020/9/7,-,105.7,28,6,117.5,25.5,2020/9/6,-,21,20,-,-,0,4,7,1
令和２年10月,202010,17.5,21.4,14.4,75,30,2020/1/10,-,-,2.4,6.1,南東,北西,2020/10/2,2020/10/24,113.9,33,3,205,73.5,2020/10/1,1,16,11,-,-,0,0,7,0
令和２年11月,202011,14,18.6,10.1,65,26,2020/1/11,-,-,2.5,9,南,-,2020/11/2,-,156.6,51,3,14.5,5,2020/11/25,4,9,4,-,-,0,0,2,0
令和２年12月,202012,7.7,12.3,3.7,61,15,2020/1/12,-,-,2.1,9.5,北西,-,2020/12/3,-,167.9,56,6,13,8,2020/12/2,6,6,3,-,-,0,0,3,0
