年度（和暦）,年度（西暦）,木造住宅棟数,木造住宅床面積（㎡）,非木造住宅棟数,非木造住宅床面積（㎡）
平成30年度,2018,14890,1575690,3452,1501332
平成31年度,2019,15000,1587108,3472,1508771
令和２年度,2020,15092,1595620,3501,1530816
令和３年度,2021,15211,1608596,3517,1542723
令和４年度,2022,15253,1614054,3526,1551933
