年（和暦）,年（西暦）,0 ～ 4歳,5 ～ 9歳,10 ～ 14歳,15 ～ 19歳,20 ～ 24歳,25 ～ 29歳,30 ～ 34歳,35 ～ 39歳,40 ～ 44歳,45 ～ 49歳,50 ～ 54歳,55 ～ 59歳,60 ～ 64歳,65 ～ 69歳,70 ～ 74歳,75 ～ 79歳,80 ～ 84歳,85 ～ 89歳,90 ～ 94歳,95 ～ 99歳,100歳以上,不      詳
平成17年,2005年,"1,541","1,478","1,369","1,816","3,381","3,620","3,759","3,559","2,889","2,353","2,194","2,719","2,248","2,019","1,821","1,275",653,275,127,31,1,3
平成22年,2010年,"1,409","1,441","1,480","1,678","2,627","2,939","3,114","3,323","3,252","2,813","2,229","2,183","2,605","2,109","1,916","1,616",977,439,144,23,2,506
平成27年,2015年,"1,637","1,444","1,476","1,856","2,387","2,336","2,685","3,024","3,175","3,235","2,724","2,186","2,049","2,420","1,924","1,642","1,243",597,222,46,1,897
令和２年,2020年,"1,798","1,712","1,518","1,693","2,463","2,322","2,376","2,790","3,151","3,297","3,238","2,714","2,164","1,960","2,228","1,699","1,303",882,306,74,9,"1,346"
