年度（西暦）,４月（ｐｐｍ）,５月（ｐｐｍ）,６月（ｐｐｍ）,７月（ｐｐｍ）,８月（ｐｐｍ）,９月（ｐｐｍ）,１０月（ｐｐｍ）,１１月（ｐｐｍ）,１２月（ｐｐｍ）,１月（ｐｐｍ）,２月（ｐｐｍ）,３月（ｐｐｍ）
2016,0.043,0.051,0.045,0.036,0.028,0.028,0.028,0.022,0.02,0.025,0.034,0.04
2017,0.047,0.051,0.048,0.036,0.032,0.036,0.03,0.022,0.019,0.021,0.03,0.04
2018,0.05,0.05,0.041,0.033,0.037,0.03,0.031,0.024,0.021,0.026,0.031,0.041
2019,0.048,0.054,0.043,0.033,0.036,0.036,0.032,0.026,0.019,0.022,0.026,0.036
2020,0.047,0.046,0.045,0.026,0.041,0.029,0.031,0.025,0.018,0.023,0.034,0.041
