年（和暦）,年（西暦）,農林漁業の事業者数,農林漁業の従業員数,鉱業、採石業、砂利採取業の事業所数,鉱業、採石業、砂利採取業の従業員数,建設業の事業所数,建設業の従業員数,製造業の事業所数,製造業の従業員数,電気･ガス・熱供給・水道業の事業所数,電気･ガス・熱供給・水道業の従業員数,情報通信業の事業者数,情報通信業の従業員数,運輸業、郵便業の事業所数,運輸業、郵便業の従業員数,卸売業・小売業の事業所数,卸売業・小売業の従業員数,金融業・保険業の事業所数,金融業・保険業の従業員数,不動産業、物品賃貸業の事業所数,不動産業、物品賃貸業の従業員数,学術研究、専門・技術サービス業の事業所数,学術研究、専門・技術サービス業の従業員数,宿泊業、飲食サービス業の事業所数,宿泊業、飲食サービス業の従業員数,生活関連サービス業、娯楽業の事業所数,生活関連サービス業、娯楽業の従業員数,教育・学習支援業の事業所数,教育・学習支援業の従業員数,医療・福祉の事業者数,医療・福祉の従業員数,複合サービス事業の事業所数,複合サービス事業の従業員数,サービス業の事業所数,サービス業の従業員数,公務（他に分類されないもの）の事業所数,公務（他に分類されないもの）の従業員数
平成24年,2012年,5,23,－,－,280,1784,112,950,－,－,40,213,22,624,457,3927,25,231,283,813,82,607,243,1578,191,927,72,645,170,3207,7,80,89,2103,…,…
平成26年,2014年,5,17,－,－,270,1427,100,858,1,8,34,166,21,458,451,3240,19,203,275,851,84,555,234,1608,189,850,86,1147,206,3788,9,229,89,902,8,531
平成28年,2016年,5,14,－,－,261,1370,85,707,1,12,34,195,19,566,422,3082,18,218,257,883,79,469,230,1554,185,685,67,556,200,3566,9,238,84,1313,…,…
