西暦（暦年）,和暦（暦年）,各年5月1日現在定数,各年5月1日現在欠員数,30歳未満,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳以上
2017年,平成29年,22,0,0,0,1,1,2,7,6,2,3,0
2018年,平成30年,22,0,0,0,0,1,1,8,6,2,4,0
2019年,平成31年,22,0,0,0,0,1,1,8,8,2,2,0
2020年,令和２年,22,0,0,0,0,1,1,5,8,5,1,1
2021年,令和３年,22,1,0,0,0,1,1,4,9,3,1,2
2022年,令和４年,22,0,0,0,0,1,1,1,9,7,1,2
