年（和暦）,年（西暦）,個人事業所数,個人事業所の従業員数,法人（会社）の事業所数,法人（会社）の事業所の従業者数,その他法人の事業所数,その他法人の事業所の従業員数,法人でない団体の事業所数,法人でない団体の事業所の従業員数,官・公営事業所数,官・公営事業所の従業員数
平成24年,2012年,813,2222,1161,12536,92,2858,12,96,…,…
平成26年,2014年,764,2014,1166,10382,103,2910,7,59,41,1473
平成28年,2016年,742,2052,1099,10384,107,2941,8,51,41,1473
,,,,,,,,,,…,…
