年次（和暦）,年次（西暦）,幼稚園数,学級数,園児数３歳男（人）,園児数３歳女（人）,園児数４歳男（人）,園児数４歳女（人）,園児数５歳男（人）,園児数５歳女（人）,教職員数（人）
平成24年,2012年,4,33,173,141,192,172,174,160,64
平成25年,2013年,4,33,169,146,171,151,197,168,63
平成26年,2014年,4,32,152,165,172,159,174,150,61
平成27年,2015年,4,31,173,157,159,172,173,157,59
平成28年,2016年,3,30,171,142,173,160,162,169,56
平成29年,2017年,3,30,154,139,184,148,164,157,53
平成30年,2018年,3,30,158,146,173,133,173,138,53
平成31年,2019年,3,30,152,127,168,151,180,135,53
令和2年,2020年,3,30,162,124,157,133,169,151,62
令和3年,2021年,3,31,143,118,161,125,157,132,58
